"lang"
{ 
	"Language" "german" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"Lebenspunkte"					// $health
		"dota_ability_variable_mana"				"Mana"						// $mana
		"dota_ability_variable_armor"				"Rüstung"						// $armor
		"dota_ability_variable_damage"				"Schaden"					// $damage
		"dota_ability_variable_str"					"Stärke"					// $str
		"dota_ability_variable_int"					"Intelligenz"				// $int
		"dota_ability_variable_agi"					"Agilität"					// $agi
		"dota_ability_variable_all"					"Alle Attribute"			// $all
		"dota_ability_variable_primary_attribute"	"Primärattribut"			// $primary_attribute
		"dota_ability_variable_attack"				"Angriffstempo"				// $attack
		"dota_ability_variable_hp_regen"			"Lebensregeneration"		// $hp_regen
		"dota_ability_variable_lifesteal"			"Lebensraub"					// $lifesteal
		"dota_ability_variable_mana_regen"			"Manaregeneration"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"Manaregeneration (Aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"Zauberschaden"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"Schwächungsdauer"			// $debuff_amp
		"dota_ability_variable_move_speed"			"Bewegungstempo"			// $move_speed
		"dota_ability_variable_evasion"				"Ausweichen"					// $evasion
		"dota_ability_variable_spell_resist"		"Magieresistenz"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"Zauberlebensraub"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"Zauberlebensraub (Diener)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"Zauberlebensraub (Helden)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"Ausgewähltes Attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"Angriffsreichweite <font color='#7d7d7d'>(nur Fernkampf)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"Angriffsreichweite <font color='#7d7d7d'>(Nur Nahkampf)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"Zauberreichweite"				// $cast_range
		"dota_ability_variable_status_resist"		"Statusresistenz"			// $status_resist
		"dota_ability_variable_projectile_speed"	"Projektiltempo"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"Manakostenreduzierung"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Abklingzeitreduzierung"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"Max. Manabonus"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"Schaden (Intelligenzheld)"
		"DOTA_Tooltip_ability_lina_light_strike_array_Note0"							"Light Strike Array zerstört Bäume im Wirkungsbereich."
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_aoe"			"RADIUS:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_stun_duration"	"BETÄUBUNGSDAUER:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_delay_time"	"ZAUBERVERZÖGERUNG:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_damage"		"SCHADEN:"
		"DOTA_Tooltip_ability_lina_fiery_soul"											"Fiery Soul"
		"DOTA_Tooltip_ability_lina_fiery_soul_Description"								"Gewährt jedes Mal einen Angriffs- und Bewegungstempobonus, wenn Lina einen Gegner mit einem Zauber trifft. Die Boni addieren sich. Hält %fiery_soul_stack_duration% Sekunden an."
		"DOTA_Tooltip_ability_lina_fiery_soul_shard_description"						"Linas Fähigkeiten verursachen %shard_bonus_spell_damage% zusätzlichen Schaden für jede Fiery-Soul-Aufladung."
		"DOTA_Tooltip_ability_lina_fiery_soul_Lore"										"Tanzende Flammen verkörpern Linas verspielte Natur und zeigen ihr wahres, loderndes Ich."
		"DOTA_Tooltip_ability_lina_fiery_soul_Note0"									"Die Effektdauer wird jedes Mal zurückgesetzt, wenn ein Gegner mit einem Zauber getroffen wird."
		"DOTA_Tooltip_ability_lina_fiery_soul_Note1"									"Das Benutzen von Gegenständen löst Fiery Soul nicht aus."
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"			"ANGRIFFSTEMPOBONUS:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_move_speed_bonus"				"%BEWEGUNGSTEMPOBONUS:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_max_stacks"					"MAX. ANZAHL:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_stack_duration"				"DAUER:"
		"DOTA_Tooltip_ability_lina_laguna_blade"										"Laguna Blade"
		"DOTA_Tooltip_ability_lina_laguna_blade_Description"							"Feuert einen Blitz auf eine gegnerische Einheit und verursacht erheblichen Schaden."
		"DOTA_Tooltip_ability_lina_laguna_blade_Lore"									"Die Luft um Lina wird so glühend heiß, dass sie jeden Feind, der ihr zu nahe kommt, mit weißglühenden Blitzen versengt."
		"DOTA_Tooltip_ability_lina_laguna_blade_Note0"									"Der von Laguna Blade verursachte Schaden hat eine Verzögerung von %damage_delay% Sekunden, was bestimmten Fähigkeiten die Möglichkeit gibt, ihn zu umgehen."
		"DOTA_Tooltip_ability_lina_laguna_blade_damage"									"SCHADEN:"
		
		"DOTA_Tooltip_ability_lina_flame_cloak"											"Flame Cloak"
		"DOTA_Tooltip_ability_lina_flame_cloak_Lore"									"Eine natürliche Verteidigung, die gleichermaßen geeignet ist, unerwünschte Schwestern und knurrende Höllenbestien in Schach zu halten."
		"DOTA_Tooltip_ability_lina_flame_cloak_Description"								"Gewährt Lina uneingeschränkte Bewegung und erhöht Zauberschaden sowie Magieresistenz."
		"DOTA_Tooltip_ability_lina_flame_cloak_flame_cloak_duration"					"DAUER:" 
		"DOTA_Tooltip_ability_lina_flame_cloak_spell_amp"								"%ZAUBERVERSTÄRKUNG:"
		"DOTA_Tooltip_ability_lina_flame_cloak_magic_resistance"						"%MAGIERESISTENZ:"
		"DOTA_Tooltip_modifier_lina_flame_cloak"						"Flammenmantel"
		"DOTA_Tooltip_modifier_lina_flame_cloak_Description"			"Kann sich uneingeschränkt bewegen. Magieresistenz um %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS% %% und Zauberschaden um %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE_UNIQUE% %% erhöht."


		"DOTA_Tooltip_modifier_lina_fiery_soul"						"Feurige Seele"
		"DOTA_Tooltip_modifier_lina_fiery_soul_Description"			"Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% und Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% erhöht."
		"DOTA_Tooltip_modifier_lina_laguna_blade"						"Lagunaschwert"
		"DOTA_Tooltip_modifier_lina_laguna_blade_Description"			"Wird in Kürze von Elementarenergie gegrillt."



		//MIRANA
		"DOTA_Tooltip_ability_mirana_arrow"												"Sacred Arrow"
		"DOTA_Tooltip_ability_mirana_arrow_Description"									"Schießt einen Pfeil mit tödlicher Präzision, der die erste getroffene gegnerische Einheit betäubt und ihr Schaden zufügt. Basierend auf der zurückgelegten Strecke des Pfeils, beträgt die Betäubungsdauer zwischen %arrow_min_stun% und %arrow_max_stun% Sekunden und die Zieleinheit erleidet bis zu %arrow_bonus_damage% Bonusschaden. Tötet umgehend die erste getroffene Einheit (keine alten Waldeinheiten)."
		"DOTA_Tooltip_ability_mirana_arrow_scepter_description"							"Der primäre Sacred Arrow trifft jetzt alle Gegner entlang seines Wegs mit Starstorm. Wirkt einen zweiten Starstorm auf die vom Pfeil getroffene Einheit, der weniger Schaden verursacht."
		"DOTA_Tooltip_ability_mirana_arrow_scepter_radius"								"SUCHRADIUS:"
		"DOTA_Tooltip_ability_mirana_arrow_scepter_starstorm_target_pct"				"%STARSTORM-SCHADEN (PRIMÄR):"
		"DOTA_Tooltip_ability_mirana_arrow_Lore"										"Energien vom Mond machen Miranas Pfeile tödlicher als die meisten anderen."
		"DOTA_Tooltip_ability_mirana_arrow_Note0"										"Pro 150 zurückgelegten Einheiten, erhöht sich die Betäubungsdauer um 0,5 Sekunden und der Bonusschaden um 14."
		"DOTA_Tooltip_ability_mirana_arrow_Note1"										"Sacred Arrow kann unsichtbare Einheiten treffen."
		"DOTA_Tooltip_ability_mirana_arrow_arrow_range"									"REICHWEITE:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_min_stun"								"MINIMALE BETÄUBUNG:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_max_stun"								"MAXIMALE BETÄUBUNG:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_bonus_damage"							"BONUSSCHADEN (MAX.):"
		"DOTA_Tooltip_ability_mirana_invis"												"Moonlight Shadow"
		"DOTA_Tooltip_ability_mirana_invis_Description"									"Mirana und alle verbündeten Helden werden unsichtbar und bewegen sich schneller. Angreifen und Einsetzen von Fähigkeiten unterbricht die Unsichtbarkeit. Solange Moonlight Shadow noch aktiv ist, wird diese aber nach einer kurzen Verzögerung wiederhergestellt."
		"DOTA_Tooltip_ability_mirana_invis_Lore"										"Durch Lehen an Selemene kann Mirana den Boden verdunkeln und damit Ihre Verbündeten in einen Mantel der Schatten hüllen."
		"DOTA_Tooltip_ability_mirana_invis_Note0"										"Betroffene Einheiten greifen Gegner nicht automatisch an."
		"DOTA_Tooltip_ability_mirana_invis_fade_delay"									"ÜBERGANGSZEIT:"
		"DOTA_Tooltip_ability_mirana_invis_duration"									"DAUER:"
		"DOTA_Tooltip_ability_mirana_invis_bonus_movement_speed"						"%BEWEGUNGSTEMPO:"
		"DOTA_Tooltip_ability_mirana_leap"												"Leap"
		"DOTA_Tooltip_ability_mirana_leap_Description"									"Miranas Tiger springt vorwärts in die Schlacht und stärkt sich mit einem wilden Brüllen, welches Angriffs- und Bewegungstempo gewährt. Das zusätzliche Tempo hält %leap_bonus_duration% Sekunden an."
		"DOTA_Tooltip_ability_mirana_leap_shard_description"							"Feuert beim Landen eine Welle in Richtung des Sprungs, die Schaden verursacht und getroffene Gegner verlangsamt. Gewährt %shard_bonus_charges% Bonusaufladung(en)."
		"DOTA_Tooltip_ability_mirana_leap_shard_radius"									"MIN. BREITE DER WELLE:"
		"DOTA_Tooltip_ability_mirana_leap_shard_radius_end"									"MAX. BREITE DER WELLE:"
		"DOTA_Tooltip_ability_mirana_leap_shard_damage"									"SCHADEN:"
		"DOTA_Tooltip_ability_mirana_leap_shard_slow_pct"								"%BEWEGUNGSVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_mirana_leap_shard_slow_duration"							"VERLANGSAMUNGSDAUER:"
		"DOTA_Tooltip_ability_mirana_leap_Lore"											"Es gibt wohl niemanden, der Miranas ikonenhafte weiße Bestie in der Hitze der Schlacht nicht wiedererkennt."
		"DOTA_Tooltip_ability_mirana_leap_leap_distance"								"DISTANZ:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus"								"%BEWEGUNGSBONUS:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus_as"							"ANGRIFFSTEMPOBONUS:"
		"DOTA_Tooltip_ability_mirana_starfall"											"Starstorm"
		"DOTA_Tooltip_ability_mirana_starfall_Description"								"Ruft einen Hagel aus Meteoriten herbei, der nahen Gegnern Schaden zufügt. Innerhalb eines Radius von %starfall_secondary_radius% Einheiten wird die am nächsten zu Mirana stehende Einheit ein zweites Mal mit %secondary_starfall_damage_percent% %% des Schadens getroffen."
		"DOTA_Tooltip_ability_mirana_starfall_Lore"										"Die Göttin durchbricht die Atmosphäre um ihre Prinzessin bei Bedarf zu bevollmächtigen."
		"DOTA_Tooltip_ability_mirana_starfall_Note0"									"Starstorm wird nicht durch Linken's Sphere geblockt."
		"DOTA_Tooltip_ability_mirana_starfall_Note1"									"Starstorm trifft keine unsichtbaren Einheiten."
		"DOTA_Tooltip_ability_mirana_starfall_Note2"									"Starstorm sucht ein neues Ziel für den zweiten Stern, wenn das erste vor dem Aufprall gestorben ist."
		"DOTA_Tooltip_ability_mirana_starfall_starfall_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_mirana_starfall_damage"									"SCHADEN:"

		"DOTA_Tooltip_modifier_mirana_leap_charge_counter"								"Leap-Aufladungen"
		"DOTA_Tooltip_modifier_mirana_leap_charge_counter_Description"					"Verbleibende Aufladungen für Leap."
		"DOTA_Tooltip_modifier_mirana_leap_buff"					"Leap"
		"DOTA_Tooltip_modifier_mirana_leap_buff_Description"		"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %%, Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% erhöht."
		"DOTA_Tooltip_modifier_mirana_starfall_scepter_thinker"				"Starstorm-Aufladung"
		"DOTA_Tooltip_modifier_mirana_starfall_scepter_thinker_Description"	"Starstorm kann automatisch gezaubert werden, wenn aufgeladen."
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow"				"Moonlight Shadow"
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow_Description"	"Unsichtbar. Unsichtbarkeit wird bei Angriffen vorübergehend deaktiviert."
		"DOTA_Tooltip_modifier_mirana_leap_slow"				"Sprung"
		"DOTA_Tooltip_modifier_mirana_leap_slow_Description"	"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% reduziert."


		//LIFESTEALER
		"DOTA_Tooltip_ability_life_stealer_rage"										"Rage"
		"DOTA_Tooltip_ability_life_stealer_rage_Description"							"Lifestealer verfällt in rasende Wut, wodurch er Zauberimmunität und erhöhtes Bewegungstempo erhält.\n\nENTZAUBERUNG: Standard"
		"DOTA_Tooltip_ability_life_stealer_rage_Lore"									"N'aix' Wahnsinn und Brutalität machen ihn zu einem grausamen und erbarmungslosen Gegner im Kampf."
		"DOTA_Tooltip_ability_life_stealer_rage_Note0"										"Beim Wirken werden viele Buffs und Debuffs entfernt."
		"DOTA_Tooltip_ability_life_stealer_rage_movement_speed_bonus"					"%BEWEGUNGSTEMPOBONUS:"
		"DOTA_Tooltip_ability_life_stealer_rage_duration"								"DAUER:"
		"DOTA_Tooltip_ability_life_stealer_feast"										"Feast"
		"DOTA_Tooltip_ability_life_stealer_feast_Description"							"Lifestealers Angriffe verursachen Bonusschaden und heilen basierend auf den maximalen Lebenspunkten seines Ziels."		
		"DOTA_Tooltip_ability_life_stealer_feast_Lore"									"Nachdem er aus seiner Zelle in Devarque geflohen war, ernährte sich N'aix vom Fleisch und den Knochen der Unglücklichen, die seinen Weg kreuzten." 
		"DOTA_Tooltip_ability_life_stealer_feast_Note0"									"Kein Effekt auf Roshan."
		"DOTA_Tooltip_ability_life_stealer_feast_hp_leech_percent"						"%LEBENSRAUB (MAX. LP):"
		"DOTA_Tooltip_ability_life_stealer_feast_hp_damage_percent"						"%MAX. LP ZU SCHADEN:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy"									"Ghoul Frenzy"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_Description"						"Lifestealers Angriffe verlangsamen %duration% Sekunden lang das gegnerische Bewegungstempo erheblich. Erhöht Lifestealers Angriffstempo."
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_movement_slow"					"%BEWEGUNGSVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_duration"						"DAUER:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_attack_speed_bonus"				"BONUSANGRIFFSTEMPO:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds"									"Open Wounds"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Description"						"Lifestealer zerfleischt eine gegnerische Einheit, was das Opfer verlangsamt und Verbündeten erlaubt, um einen Prozentsatz des von ihnen an diese Einheit ausgeteilten Schadens geheilt zu werden. Dabei stiehlt jeglicher zugefügte Schaden Leben, auch Schaden durch Zauber. Das Opfer erhält sein Bewegungstempo über die Dauer des Effekts kontinuierlich zurück. Angriffe verursachen bei Helden 2 % der max. Lebenspunkte des Ziels als Bonusschaden. Wenn das Ziel %damage_threshold% Schaden erleidet, eitern die Wunden und befallen einen zufälligen weiteren Gegner im Umkreis von %spread_radius% Einheiten."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Lore"							"Frische Wunden und der Geruch von Blut locken oft Aasfresser an, die die Sache zu Ende bringen."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Note0"							"Open Wounds verlangsamt in 8 Stufen: 50/50/40/30/20/10/10/10 %, wobei die Verlangsamung um eine Stufe pro Sekunde abnimmt."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Note1"							"Wird zu anderen Lebensraub-Effekten hinzuaddiert."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_heal_percent"					"%LEBENSRAUB:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_slow_tooltip"					"%MAX. VERLANGSAMUNG:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_duration"						"DAUER:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_abilitycastrange"					"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_max_health_as_damage"			"%MAX. LP ALS SCHADEN:"
		"DOTA_Tooltip_ability_life_stealer_infest"										"Infest"
		"DOTA_Tooltip_ability_life_stealer_infest_Lore"									"Durch diese Verseuchung entzieht N'aix seinem Wirt Blut, wodurch er seine vollständige unheilige Kraft wiederherstellt."
		"DOTA_Tooltip_ability_life_stealer_infest_Description"							"Lifestealer nistet sich im Körper der Zieleinheit ein und kann in diesem Zustand nicht entdeckt werden. Er regeneriert pro Sekunde einen Anteil seiner maximalen Lebenspunkte und ist jederzeit dazu in der Lage, explosionsartig seinen Wirt zu verlassen, wobei in der Nähe befindliche Gegner Schaden erleiden. Falls die infizierte Einheit ein gegnerischer Diener oder eine neutrale Einheit ist, kann Lifestealer auch die vollständige Kontrolle über seinen Wirt übernehmen. Die Fähigkeit kann nicht auf gegnerische Helden angewendet werden.\n\nENTZAUBERUNG: Standard"
		"DOTA_Tooltip_ability_life_stealer_infest_Note0"								"Stirbt die infizierte Einheit, bevor Lifestealer sie aufgezehrt hat, wird keine Gesundheit wiederhergestellt."
		"DOTA_Tooltip_ability_life_stealer_infest_Note1"								"Lifestealer erhält Erfahrung, auch während Infest aktiv ist."
		"DOTA_Tooltip_ability_life_stealer_infest_Note2"								"Mit Infest kontrollierte Einheiten bewegen sich mit Lifestealers Bewegungstempo."
		"DOTA_Tooltip_ability_life_stealer_infest_Note3"								"Kann ab Level 2 auch auf Uralte Einheiten angewendet werden."
		"DOTA_Tooltip_ability_life_stealer_infest_damage"								"SCHADEN:"
		"DOTA_Tooltip_ability_life_stealer_infest_radius"								"SCHADENSRADIUS:"
		"DOTA_Tooltip_ability_life_stealer_infest_self_regen"								"%REGENERATION DER MAX. LP (SELBST):"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_movement_speed"					"%BEWEGUNGSTEMPO:"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_health"							"BONUSLEBENSPUNKTE:"
		//"DOTA_Tooltip_ability_life_stealer_infest_extra_damage"							"%DAMAGE FROM LIFESTEALER:"
		//"DOTA_Tooltip_ability_life_stealer_infest_extra_armor"							"%ARMOR FROM LIFESTEALER:"
		"DOTA_Tooltip_ability_life_stealer_infest_cooldown_scepter"						"ABKLINGZEIT:"
		"DOTA_Tooltip_ability_life_stealer_infest_cast_range_scepter"					"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_life_stealer_infest_attack_rate_scepter"					"ANGRIFFSINTERVALL:"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_regen_pct_scepter"					"%BONUSREGENERATION:"
		"DOTA_Tooltip_ability_life_stealer_infest_infest_duration_scepter"				"DAUER AUF GEGENER:"
		"DOTA_Tooltip_ability_life_stealer_control"										"Control"
		"DOTA_Tooltip_ability_life_stealer_control_Description"							"Lifestealer übernimmt das Nervensystem seines Wirtes und erlangt dadurch die totale Kontrolle über diesen. Kontrollierte Einheiten bewegen sich mit Lifestealers Bewegungstempo. Kann nicht auf Helden angewendet werden."
		"DOTA_Tooltip_ability_life_stealer_consume"										"Consume"
		"DOTA_Tooltip_ability_life_stealer_consume_Description"							"Lifestealer frisst den befallenen Körper von innen auf und kehrt mit einer Explosion auf das Schlachtfeld zurück."
		"DOTA_Tooltip_ability_life_stealer_empty_1"										""
		"DOTA_Tooltip_ability_life_stealer_empty_1_Description"							""
		"DOTA_Tooltip_ability_life_stealer_empty_2"										""
		"DOTA_Tooltip_ability_life_stealer_empty_2_Description"							""
		"DOTA_Tooltip_ability_life_stealer_empty_3"										""
		"DOTA_Tooltip_ability_life_stealer_empty_3_Description"							""
		"DOTA_Tooltip_ability_life_stealer_empty_4"										""
		"DOTA_Tooltip_ability_life_stealer_empty_4_Description"							""
		"DOTA_Tooltip_ability_life_stealer_assimilate"							"Assimilate"
		"DOTA_Tooltip_ability_life_stealer_assimilate_Description"							"Lifestealer verschlingt einen verbündeten Helden und versteckt ihn so in seinem Körper. Alle Heileffekte, die auf Lifestealer wirken, wirken auch auf den aufgenommenen Helden. Wenn der assimilierte Held Lifestealers Körper wieder verlässt, tut er dies explosionsartig und fügt nahen Gegnern Schaden zu.\n\nENTZAUBERUNG: Stark"
		"DOTA_Tooltip_ability_life_stealer_assimilate_damage"		"SCHADEN:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_radius"		"RADIUS:"		
		"DOTA_Tooltip_ability_life_stealer_assimilate_Lore"		"Wie kann Lifestealer der Chance widerstehen, einen Verbündeten zu kosten?"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject"							"Eject"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_Description"				"Stößt den assimilierten Helden wieder aus, wodurch nahe Gegner Schaden erleiden."
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_damage_tooltip"		"SCHADEN:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_radius_tooltip"			"RADIUS:"		

		"DOTA_Tooltip_modifier_life_stealer_infest"										"Hat einen Wirt befallen."

		"DOTA_Tooltip_modifier_life_stealer_infest_enemy_hero"							"Befallen"
		"DOTA_Tooltip_modifier_life_stealer_infest_enemy_hero_Description"				"Wurde von einem gegnerischen Helden befallen."

		"DOTA_Tooltip_modifier_life_stealer_rage" "Rage"
		"DOTA_Tooltip_modifier_life_stealer_open_wounds" "Open Wounds"
		"DOTA_Tooltip_modifier_life_stealer_open_wounds_Description"	"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verringert."
		"DOTA_Tooltip_modifier_life_stealer_ghoul_frenzy_slow" "Ghoul Frenzy"
		"DOTA_Tooltip_modifier_life_stealer_ghoul_frenzy_slow_Description"	"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% reduziert."
		"DOTA_Tooltip_modifier_life_stealer_assimilate" "Assimiliert"
		"DOTA_Tooltip_modifier_life_stealer_assimilate_Description"	"Versteckt in Lifestealer. Jede Heilung, die Lifestealer erhält, wird geteilt.\n\nWenn Sie sich bewegen, einen Zauber anwenden oder auf dieses Symbol klicken, brechen Sie aus Lifestealer hervor und fügen Gegnern in der Nähe Schaden zu."

		//FURION
		"DOTA_Tooltip_ability_furion_sprout"											"Sprout"
		"DOTA_Tooltip_ability_furion_sprout_Description"								"Lässt einen Ring Bäume um eine Einheit herum emporsprießen, welche das Ziel an Ort und Stelle festhalten und im Umkreis von %vision_range% Sicht gewähren."
		"DOTA_Tooltip_ability_furion_sprout_shard_description"							"Die ersten beiden zerstörten Sprout-Bäume verwandeln sich in Starke Treants. Es können immer nur zwei Starke Treants existieren."
		"DOTA_Tooltip_ability_furion_sprout_Lore"										"Grüner Überwuchs ist ein häufiges Leiden unter Nature's Prophets Angreifern."
		"DOTA_Tooltip_ability_furion_sprout_Note0"										"Sprout kann auf jede Einheit oder den Boden angewandt werden."
		"DOTA_Tooltip_ability_furion_sprout_Note1"										"Durch Sprout erzeugte Bäume interagieren mit Fähigkeiten wie reguläre Bäume."
		"DOTA_Tooltip_ability_furion_sprout_duration"									"DAUER:"
		"DOTA_Tooltip_ability_furion_sprout_abilitycastrange"						"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_furion_sprout_abilitydraft_note"							"Splitter: Starke Treants erscheinen nur, wenn auch Nature's Call gewählt wurde."
		"DOTA_Tooltip_ability_furion_teleportation"										"Teleportation"
		"DOTA_Tooltip_ability_furion_teleportation_Description"							"Teleportiert sich zu einem Punkt auf der Karte."
		"DOTA_Tooltip_ability_furion_teleportation_Lore"								"Der Prophet wacht über den Wald und beschützt ihn in Not."
		"DOTA_Tooltip_ability_furion_teleportation_Note0"								"Mana und Abklingzeit werden nur verbraucht, wenn die Fähigkeit vollständig gewirkt wird. Nature's Prophet verbraucht kein Mana und startet keine Abklingzeit, wenn die Fähigkeit beim Zaubern unterbrochen wird."
		"DOTA_Tooltip_ability_furion_teleportation_Note1"								"Zu Beginn des Zauberns wird ein Effekt am Zielort erzeugt, welcher für Verbündete und Gegner sichtbar ist."
		"DOTA_Tooltip_ability_furion_teleportation_abilitycastpoint"					"ZAUBERZEIT:"
		"DOTA_Tooltip_ability_furion_force_of_nature"									"Nature's Call"
		"DOTA_Tooltip_ability_furion_force_of_nature_Description"						"Verwandelt eine Fläche Bäume in Treants unter Nature's Prophets Kontrolle."
		"DOTA_Tooltip_ability_furion_force_of_nature_Lore"								"Verodicia verlieh dem Prophet die Fähigkeit, die Treant Garde zu beschwören, eine mythische Wächterarmee der Wildnis."
		"DOTA_Tooltip_ability_furion_force_of_nature_Note0"								"Nature's Call erzeugt nur so viele Treants, wie es Bäume im Zielgebiet gibt."
		"DOTA_Tooltip_ability_furion_force_of_nature_duration"							"TREANT-DAUER:"
		"DOTA_Tooltip_ability_furion_force_of_nature_max_treants"						"TREANT-ANZAHL:"
		"DOTA_Tooltip_ability_furion_force_of_nature_treant_health_tooltip"				"LEBENSPUNKTE (TREANT):"
		"DOTA_Tooltip_ability_furion_force_of_nature_treant_dmg_tooltip"				"SCHADEN (TREANT):"
		"DOTA_Tooltip_ability_furion_curse_of_the_forest"								"Curse of the Oldgrowth"
		"DOTA_Tooltip_ability_furion_curse_of_the_forest_Lore"							"Obwohl mit vielen Fähigkeiten gesegnet, ist Nature's Prophet nicht allwissend und muss für Erkundung und Aufklärung auf ein altbewährtes Netzwerk standhafter Freunde zurückgreifen."
		"DOTA_Tooltip_ability_furion_curse_of_the_forest_Description"					"Wirkt einen Fluch auf alle gegnerischen Helden im Umkreis von %range% Einheiten, der sie im Nebel aufdeckt und basierend auf der Anzahl Bäume im Umkreis von %radius% Einheiten verlangsamt sowie kontinuierlich Schaden verursacht. Treants zählen als Bäume."
		"DOTA_Tooltip_ability_furion_curse_of_the_forest_duration"						"DAUER:"
		"DOTA_Tooltip_ability_furion_curse_of_the_forest_damage_per_tree"				"SCHADEN PRO SEKUNDE UND BAUM:"
		"DOTA_Tooltip_ability_furion_curse_of_the_forest_slow_per_tree"					"%VERLANGSAMUNG PRO BAUM:"
