"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"พลังชีวิต"					// $health
		"dota_ability_variable_mana"				"มานา"						// $mana
		"dota_ability_variable_armor"				"เกราะป้องกัน"						// $armor
		"dota_ability_variable_damage"				"พลังโจมตี"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"ค่าคุณสมบัติทั้งหมด"			// $all
		"dota_ability_variable_primary_attribute"	"ค่าสถานะหลัก"			// $primary_attribute
		"dota_ability_variable_attack"				"ความเร็วในการโจมตี"				// $attack
		"dota_ability_variable_hp_regen"			"อัตราการฟื้นฟูพลังชีวิต"		// $hp_regen
		"dota_ability_variable_lifesteal"			"ดูดพลังชีวิต"					// $lifesteal
		"dota_ability_variable_mana_regen"			"อัตราฟื้นฟูมานา"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"ออราอัตราฟื้นฟูมานา"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"ความเสียหายสกิล"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"ระยะเวลาดีบัฟ"			// $debuff_amp
		"dota_ability_variable_move_speed"			"ความเร็วในการเคลื่อนที่"			// $move_speed
		"dota_ability_variable_evasion"				"อัตราหลบหลีก"					// $evasion
		"dota_ability_variable_spell_resist"		"ความต้านทานเวทมนตร์"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"สกิลดูดพลังชีวิต"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"สกิลดูดพลังชีวิต (ครีป)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"สกิลดูดพลังชีวิต (ฮีโร่)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ค่าคุณสมบัติที่เลือก"		// $selected_attribute
		"dota_ability_variable_attack_range"		"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะไกล)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะประชิด)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"ระยะร่าย"				// $cast_range
		"dota_ability_variable_status_resist"		"ความต้านทานสถานะ"			// $status_resist
		"dota_ability_variable_projectile_speed"	"ความเร็วกระสุน"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"ลดมานาที่ใช้"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"ลดคูลดาวน์"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"เพิ่มมานาสูงสุด"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"พลังโจมตี (ฮีโร่ Intelligence)"
		"DOTA_Tooltip_ability_queenofpain_blink_shard_description"						"ปล่อยคลื่นซอนิกบูมเมื่อ Queen of Pain ใช้ Blink ทั้งที่ตำแหน่งเริ่มต้นและจุดหมาย สร้างความเสียหาย %shard_damage% หน่วยในพื้นที่ %shard_aoe% หน่วย และใบ้เป้าหมายเป็นเวลา %shard_duration% วินาที"
		"DOTA_Tooltip_ability_queenofpain_blink_Lore"									"ราชินีลึกลับที่ดำเนินชีวิตสมกับชื่อของเธอ ซึ่งทำให้ไม่สามารถที่จะหนีออกจากความเจ็บปวดของเธอได้เลย"
		"DOTA_Tooltip_ability_queenofpain_blink_Note0"									"คุณสามารถใช้ Blink เพื่อหลบกระสุนที่พุ่งเข้ามาได้"
		"DOTA_Tooltip_ability_queenofpain_blink_abilitycastrange"						"ระยะ:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain"								"Scream Of Pain"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Description"					"Queen of Pain ปลดปล่อยเสียงกรีดร้องจนแสบแก้วหูรอบ ๆ ตัว สร้างความเสียหายแก่ศัตรูที่อยู่บริเวณใกล้เคียง"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Lore"							"เสียงอันยั่วยวนของ Akasha ทำให้ผู้ที่ได้ฟังเป็นต้องลุ่มหลงโดยที่ไม่ทันรู้ตัวด้วยซ้ำว่าวิญญาณของพวกเขากำลังจะหลุดออกจากร่าง"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note0"							"Scream Of Pain จะโจมตีโดนยูนิตที่กำลังล่องหน"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_Note1"							"Scream Of Pain ไม่สามารถหลบได้"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_area_of_effect"				"รัศมี:"
		"DOTA_Tooltip_ability_queenofpain_scream_of_pain_damage"						"ความเสียหาย:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave"									"Sonic Wave"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Description"						"สร้างคลื่นเสียงขนาดมหึมาด้านหน้าของ Queen of Pain สร้างความเสียหายอย่างรุนแรงแก่ศัตรูทุกตัวที่อยู่ในบริเวณนั้น และผลักพวกมันถอยไป"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Lore"								"ที่สุดแห่งความงามของความทรมานทั้งมวล Sonic Wave ของ Akasha ทำให้ศัตรูที่น่าสงสารของเธอพ้นทุกข์"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_Note0"								"Sonic Wave สามารถสร้างความเสียหายแก่ยูนิตศัตรูที่อยู่ห่างออกไปได้ถึง 1150 หน่วย"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_final_aoe"							"รัศมีคลื่นสูงสุด:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage"							"ความเสียหาย:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_knockback_distance"				"ระยะทางที่กระเด็น:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_cooldown_scepter"					"คูลดาวน์:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage_scepter"					"ความเสียหาย:"

		"DOTA_Tooltip_modifier_queenofpain_shadow_strike"			"Shadow Strike"					
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike_Description"		"สร้างความเสียหายเป็นระยะ ๆ และเคลื่อนที่ช้าลง %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear"							"หวาดกลัว"
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear_description"							"ถูกทำให้หวาดกลัวโดย Scream of Pain"

		//LINA
		"DOTA_Tooltip_ability_lina_dragon_slave"										"Dragon Slave"
		"DOTA_Tooltip_ability_lina_dragon_slave_Description"							"Lina ปลดปล่อยลมหายใจของมังกร สร้างคลื่นความร้อนที่จะแผดเผาศัตรูทุกตัวที่ขวางทาง"
		"DOTA_Tooltip_ability_lina_dragon_slave_Lore"									"ในพื้นที่แห้งแล้งแห่ง Misrule Lina ได้เรียนรู้ที่จะควบคุมเปลวเพลิงจากลมหายใจของ Desert Wyrm เพื่อความเพลิดเพลิน"
		"DOTA_Tooltip_ability_lina_dragon_slave_Note0"									"Dragon Slave สามารถโดนยูนิตที่อยู่ในระยะห่างออกไปได้ถึง 1225 หน่วย"
		"DOTA_Tooltip_ability_lina_dragon_slave_dragon_slave_damage"					"ความเสียหาย:"

		"DOTA_Tooltip_ability_lina_light_strike_array"									"Light Strike Array"
		"DOTA_Tooltip_ability_lina_light_strike_array_Description"						"เรียกเสาแห่งเพลิงขึ้นมาเพื่อสตันและสร้างความเสียหายแก่ศัตรู"
		"DOTA_Tooltip_ability_lina_light_strike_array_Lore"								"เวทอันแข็งแกร่งของ Lina ทำให้เธอสามารถสร้างจุดรวมพลังจากแสงอาทิตย์และจุดระเบิดได้ตามต้องการ"
		"DOTA_Tooltip_ability_lina_light_strike_array_Note0"							"Light Strike Array จะทำลายต้นไม้ที่อยู่ในพื้นที่แสดงผลของสกิล"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_aoe"			"รัศมี:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_stun_duration"	"ระยะเวลาสตัน:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_delay_time"	"ดีเลย์การร่าย:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_damage"		"ความเสียหาย:"
		"DOTA_Tooltip_ability_lina_fiery_soul"											"Fiery Soul"
		"DOTA_Tooltip_ability_lina_fiery_soul_Description"								"ได้รับความเร็วในการโจมตีและการเคลื่อนที่เพิ่มขึ้นเมื่อ Lina ร่ายเวทมนตร์โดนศัตรูแต่ละตัว ผลที่ได้สามารถซ้อนทับกันได้ มีผลเป็นระยะเวลา %fiery_soul_stack_duration% วินาที"
		"DOTA_Tooltip_ability_lina_fiery_soul_shard_description"						"สกิลของ Lina สร้างความเสียหายเพิ่มขึ้น %shard_bonus_spell_damage% หน่วยต่อจำนวนการซ้อนทับ Fiery Soul แต่ละชาร์จ"
		"DOTA_Tooltip_ability_lina_fiery_soul_Lore"										"เปลวไฟอันร้อนแรงเปลี่ยนเป็นนิสัยขี้เล่นของ Lina โดยดึงเอาพลังที่แท้จริงของเธอออกมา"
		"DOTA_Tooltip_ability_lina_fiery_soul_Note0"									"ระยะเวลาของสกิลจะเริ่มนับใหม่ทุกครั้งที่มีศัตรูโดนสกิล"
		"DOTA_Tooltip_ability_lina_fiery_soul_Note1"									"การใช้ไอเท็มไม่ทำให้ Fiery Soul ทำงาน"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"			"เพิ่มความเร็วในการโจมตี:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_move_speed_bonus"				"%เพิ่มความเร็วในการเคลื่อนที่:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_max_stacks"					"ซ้อนทับสูงสุด:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_stack_duration"				"ระยะเวลา:"
		"DOTA_Tooltip_ability_lina_laguna_blade"										"Laguna Blade"
		"DOTA_Tooltip_ability_lina_laguna_blade_Description"							"ยิงสายฟ้าพิฆาตไปยังศัตรูเป้าหมาย สร้างความเสียหายอย่างรุนแรง"
		"DOTA_Tooltip_ability_lina_laguna_blade_Lore"									"อากาศรอบ ๆ Lina ร้อนขึ้นอย่างมหาศาลจนสามารถทำให้ศัตรูลุกไหม้ได้หากมันเข้าใกล้สายฟ้าสีขาวอันร้อนแรง"
		"DOTA_Tooltip_ability_lina_laguna_blade_Note0"									"Laguna Blade มีดีเลย์ %damage_delay% วินาที ก่อนที่จะสร้างความเสียหายหลังจากร่ายสกิล ซึ่งทำให้สามารถใช้บางสกิลเพื่อหลบเลี่ยงความเสียหายได้"
		"DOTA_Tooltip_ability_lina_laguna_blade_damage"									"ความเสียหาย:"
		
		"DOTA_Tooltip_ability_lina_flame_cloak"											"Flame Cloak"
		"DOTA_Tooltip_ability_lina_flame_cloak_Lore"									"เกราะป้องกันพลังธรรมชาติที่เหมาะสมกับการคุ้มกันทุกอย่างตั้งแต่น้องสาวที่ไม่น่าคบหาไปจนถึงอสูรนรกแสนดุดัน"
		"DOTA_Tooltip_ability_lina_flame_cloak_Description"								"ทำให้ Lina สามารถเคลื่อนที่ทะลุสิ่งกีดขวาง รวมทั้งเพิ่มความเสียหายสกิลและเพิ่มความต้านทานเวทมนตร์ของเธอ"
		"DOTA_Tooltip_ability_lina_flame_cloak_flame_cloak_duration"					"ระยะเวลา:" 
		"DOTA_Tooltip_ability_lina_flame_cloak_spell_amp"								"%เพิ่มความเสียหายสกิล:"
		"DOTA_Tooltip_ability_lina_flame_cloak_magic_resistance"						"%ความต้านทานเวทมนตร์:"
		"DOTA_Tooltip_modifier_lina_flame_cloak"						"Flame Cloak"
		"DOTA_Tooltip_modifier_lina_flame_cloak_Description"			"สามารถเคลื่อนที่ทะลุสิ่งกีดขวาง ความต้านทานเวทมนตร์เพิ่มขึ้น %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% ความเสียหายสกิลเพิ่มขึ้น %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE_UNIQUE%%%"


		"DOTA_Tooltip_modifier_lina_fiery_soul"						"Fiery Soul"
		"DOTA_Tooltip_modifier_lina_fiery_soul_Description"			"ความเร็วในการโจมตีเพิ่มขึ้น %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% หน่วย และความเร็วในการเคลื่อนที่เพิ่มขึ้น %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_lina_laguna_blade"						"Laguna Blade"
		"DOTA_Tooltip_modifier_lina_laguna_blade_Description"			"กำลังจะถูกระเบิดร่างด้วยพลังงานธาตุ"



		//MIRANA
		"DOTA_Tooltip_ability_mirana_arrow"												"Sacred Arrow"
		"DOTA_Tooltip_ability_mirana_arrow_Description"									"ยิงลูกศรระยะไกลออกไปเป็นเส้นตรงด้วยความแม่นยำอย่างเต็มที่ สร้างความเสียหายและสตันเป้าหมายแรกที่โดน ระยะเวลาของการสตันตั้งแต่ %arrow_min_stun% ถึง %arrow_max_stun% วินาที และมีความเสียหายเพิ่มสูงสุด %arrow_bonus_damage% หน่วย ตามระยะทางที่ลูกศรยิงออกไปโดนเป้าหมาย สามารถฆ่าครีปตัวแรกที่ไม่ใช่ครีป Ancient ที่โดนลูกศรได้ทันที"
		"DOTA_Tooltip_ability_mirana_arrow_scepter_description"							"ทำให้ Sacred Arrow ปล่อย Starstorm ใส่ศัตรูที่อยู่ในเส้นทางของลูกศรหลัก และปล่อย Starstorm อีกครั้งใส่ยูนิตที่โดนลูกศรด้วยความเสียหายลดลง"
		"DOTA_Tooltip_ability_mirana_arrow_scepter_radius"								"รัศมีค้นหาศัตรู:"
		"DOTA_Tooltip_ability_mirana_arrow_scepter_starstorm_target_pct"				"%ความเสียหาย STARSTORM แก่เป้าหมายหลักที่โดน:"
		"DOTA_Tooltip_ability_mirana_arrow_Lore"										"พลังแห่งจันทราทำให้ลูกศรของ Princess of the Moon ร้ายกาจกว่าลูกศรชนิดอื่นๆ"
		"DOTA_Tooltip_ability_mirana_arrow_Note0"										"ทุก ๆ ระยะ 150 หน่วย ที่ลูกศรผ่านพุ่งไป ระยะเวลาการสตันเมื่อกระทบเป้าหมายจะเพิ่มขึ้น 0.5 วินาทีและสร้างความเสียหายเพิ่มเติมอีก 14 หน่วย"
		"DOTA_Tooltip_ability_mirana_arrow_Note1"										"Sacred Arrow สามารถยิงถูกยูนิตที่ล่องหนอยู่ได้"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_range"									"ระยะทาง:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_min_stun"								"สตันสั้นสุด:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_max_stun"								"สตันนานสุด:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_bonus_damage"							"โบนัสความเสียหายสูงสุด:"
		"DOTA_Tooltip_ability_mirana_invis"												"Moonlight Shadow"
		"DOTA_Tooltip_ability_mirana_invis_Description"									"เปลี่ยนให้ Mirana และฮีโร่ฝ่ายเดียวกันทุกคนให้อยู่ในสภาพล่องหน และเพิ่มโบนัสความเร็วในการเคลื่อนที่ หากฮีโร่ถูกเปิดเผยตัว จะสามารถคืนสภาพล่องหนได้อีกครั้งหลังจากดีเลย์หากระยะเวลาของ Moonlight Shadow ยังไม่หมดลง"
		"DOTA_Tooltip_ability_mirana_invis_Lore"										"การครอบครอง Selemene ของ Mirana ทำให้เธอสามารถสร้างคราสได้แม้แต่กับพื้นดิน และคลุมพันธมิตรของเธอไว้ด้วยเงา"
		"DOTA_Tooltip_ability_mirana_invis_Note0"										"ยูนิตที่ได้รับผลจะไม่โจมตีศัตรูโดยอัตโนมัติ"
		"DOTA_Tooltip_ability_mirana_invis_fade_delay"									"ดีเลย์ในการพรางตัว:"
		"DOTA_Tooltip_ability_mirana_invis_duration"									"ระยะเวลา:"
		"DOTA_Tooltip_ability_mirana_invis_bonus_movement_speed"						"%ความเร็วในการเคลื่อนที่:"
		"DOTA_Tooltip_ability_mirana_leap"												"Leap"
		"DOTA_Tooltip_ability_mirana_leap_Description"									"Mirana กระโดดเข้าไปยังการต่อสู้ เสริมพลังให้แก่ตนเองด้วยเสียงคำราม ทำให้เพิ่มความเร็วในการเคลื่อนที่และโจมตีเป็นเวลา %leap_bonus_duration% วินาที"
