"lang"
{ 
	"Language" "polish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"pkt. zdrowia"					// $health
		"dota_ability_variable_mana"				"pkt. many"						// $mana
		"dota_ability_variable_armor"				"pkt. pancerza"						// $armor
		"dota_ability_variable_damage"				"pkt. obrażeń"					// $damage
		"dota_ability_variable_str"					"pkt. Siły"					// $str
		"dota_ability_variable_int"					"pkt. Inteligencji"				// $int
		"dota_ability_variable_agi"					"pkt. Zręczności"					// $agi
		"dota_ability_variable_all"					"pkt. wszystkich atrybutów"			// $all
		"dota_ability_variable_primary_attribute"	"pkt. głównego atrybutu"			// $primary_attribute
		"dota_ability_variable_attack"				"jedn. szybkości ataku"				// $attack
		"dota_ability_variable_hp_regen"			"pkt. regeneracji zdrowia"			// $hp_regen
"dota_ability_variable_mana_regen"			"pkt. regeneracji many"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"jedn. aury regeneracji many"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"obrażeń od czarów"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"czasu trwanie negatywnych efektów"			// $debuff_amp
		"dota_ability_variable_move_speed"			"szybkości ruchu"			// $move_speed
		"dota_ability_variable_evasion"				"szansy na unik"					// $evasion
		"dota_ability_variable_spell_resist"		"odporności na magię"			// $spell_resist
"dota_ability_variable_spell_lifesteal_creep"	"kradzieży zdrowia z czarów (creepy)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"kradzieży zdrowia z czarów (bohaterowie)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"pkt. wybranego atrybutu"		// $selected_attribute
		"dota_ability_variable_attack_range"		"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko dla dystansowych)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko walczący wręcz)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"zasięgu rzutu"				// $cast_range
		"dota_ability_variable_status_resist"		"odporności na statusy"			// $status_resist
		"dota_ability_variable_projectile_speed"	"jedn. szybkości pocisku"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"redukcji kosztów many"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Skrócenie czasów oczekiwania"		// $cooldown_reduction 

		//ATTRIBUTES
		"DOTA_Tooltip_ability_mirana_arrow_arrow_min_stun"								"MIN. OGŁUSZENIE:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_max_stun"								"MAKS. OGŁUSZENIE:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_bonus_damage"							"MAKS. PREMIA DO OBRAŻEŃ:"
		"DOTA_Tooltip_ability_mirana_invis"												"Moonlight Shadow"
		"DOTA_Tooltip_ability_mirana_invis_Description"									"Sprawia, że Mirana i wszyscy sojuszniczy bohaterowie stają się niewidzialni, a także zapewnia premię do szybkości ruchu. Jeśli bohater zostanie ujawniony, niewidzialność zostanie przywrócona po opóźnieniu, dopóki nie upłynie czas trwania Moonlight Shadow."
		"DOTA_Tooltip_ability_mirana_invis_Lore"										"Jej umowa z Selimeną pozwala Miranie przesłonić ziemię i ukryć jej towarzyszy w cieniu."
		"DOTA_Tooltip_ability_mirana_invis_Note0"										"Jednostki pod wpływem tej umiejętności nie będą automatycznie atakowały przeciwników."
		"DOTA_Tooltip_ability_mirana_invis_Note1"										"Sojusznicy niewrażliwi na czary także staną się niewidzialni."
		"DOTA_Tooltip_ability_mirana_invis_fade_delay"									"OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_mirana_invis_duration"									"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_mirana_invis_bonus_movement_speed"						"%SZYBKOŚĆ RUCHU:"
		"DOTA_Tooltip_ability_mirana_leap"												"Leap"
		"DOTA_Tooltip_ability_mirana_leap_Description"									"Mirana wskakuje wprost do walki i wzmacnia się dzikim rykiem, który zapewnia jej premię do szybkości ataku i ruchu. Premie do szybkości trwają %leap_bonus_duration% s."
		"DOTA_Tooltip_ability_mirana_leap_Lore"											"Nie ma nikogo, kto nie rozpoznałby ikonicznej białej bestii Mirany w sercu bitwy."
		"DOTA_Tooltip_ability_mirana_leap_leap_distance"								"DYSTANS:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus"								"%PREMIA DO SZYBKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus_as"							"PREMIA DO SZYBKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_mirana_starfall"											"Starstorm"
		"DOTA_Tooltip_ability_mirana_starfall_Description"								"Przyzywa deszcz meteorytów, które zadają obrażenia pobliskim wrogim jednostkom. W znajdującą się najbliżej Mirany w promieniu %starfall_secondary_radius% jednostek wrogą jednostkę trafi dodatkowy meteor zadający %secondary_starfall_damage_percent%%% normalnych obrażeń."
		"DOTA_Tooltip_ability_mirana_starfall_Lore"										"Bogini przebija niebiosa, aby wspomóc swoją Księżniczkę w potrzebie."
		"DOTA_Tooltip_ability_mirana_starfall_Note0"									"Umiejętność nie jest blokowana przez Linken's Sphere."
		"DOTA_Tooltip_ability_mirana_starfall_Note1"									"Starstorm nie może trafić niewidzialnych jednostek."
		"DOTA_Tooltip_ability_mirana_starfall_Note2"									"Starstorm wybierze nowy cel dla drugiej gwiazdy, jeżeli pierwszy zginął przed jej uderzeniem."
		"DOTA_Tooltip_ability_mirana_starfall_starfall_radius"							"PROMIEŃ:"
		"DOTA_Tooltip_ability_mirana_starfall_damage"									"OBRAŻENIA:"

		"DOTA_Tooltip_modifier_mirana_leap_charge_counter"								"Leap – ładunki"
		"DOTA_Tooltip_modifier_mirana_leap_charge_counter_Description"					"Liczba pozostałych ładunków Leap."
		"DOTA_Tooltip_modifier_mirana_leap_buff"					"Leap"
		"DOTA_Tooltip_modifier_mirana_leap_buff_Description"		"Szybkość ruchu zwiększona o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, szybkość ataku zwiększona o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek"
		"DOTA_Tooltip_modifier_mirana_starfall_scepter_thinker"				"Starstorm – naładowanie"
		"DOTA_Tooltip_modifier_mirana_starfall_scepter_thinker_Description"	"Starstorm może zostać automatycznie użyte, gdy jest naładowane."
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow"				"Moonlight Shadow"
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow_Description"	"Niewidzialność. Atakowanie tymczasowo pozbawia niewidzialności."
		//LIFESTEALER
		"DOTA_Tooltip_ability_life_stealer_rage"										"Rage"
		"DOTA_Tooltip_ability_life_stealer_rage_Description"							"Lifestealer wpada w niekontrolowaną furię, zyskując niewrażliwość na czary oraz premię do szybkości ruchu.\n\nTYP ROZPROSZENIA: zwykłe"
		"DOTA_Tooltip_ability_life_stealer_rage_Lore"									"Szaleństwo i brutalność N'aixa czynią z niego zajadłego i bezlitosnego przeciwnika."
		"DOTA_Tooltip_ability_life_stealer_rage_Note0"										"Użycie tej umiejętności spowoduje usunięcie wielu pozytywnych i negatywnych efektów."
		"DOTA_Tooltip_ability_life_stealer_rage_movement_speed_bonus"					"%PREMIA DO SZYBKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_life_stealer_rage_duration"								"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_life_stealer_feast"										"Feast"
		"DOTA_Tooltip_ability_life_stealer_feast_Description"							"Ataki Lifestealera zadają obrażenia i zapewniają leczenie równe procentowi maksymalnego zdrowia jego celu."		
		"DOTA_Tooltip_ability_life_stealer_feast_Lore"									"Po ucieczce ze swej celi w Devarque N'aix przetrwał, żywiąc się ciałami tych, którzy mieli nieszczęście go spotkać." 
		"DOTA_Tooltip_ability_life_stealer_feast_Note0"									"Nie działa na Roshana."
		"DOTA_Tooltip_ability_life_stealer_feast_Note1"									"Działa na jednostki niewrażliwe na czary."
		"DOTA_Tooltip_ability_life_stealer_feast_Note2"									"Leczenie jest niezależne od obrażeń."
		"DOTA_Tooltip_ability_life_stealer_feast_Note3"									"Sumuje się z innymi źródłami kradzieży zdrowia."
		"DOTA_Tooltip_ability_life_stealer_feast_hp_leech_percent"						"%MAKS. ZDROWIE JAKO KRADZIEŻ ZDROWIA:"
		"DOTA_Tooltip_ability_life_stealer_feast_hp_damage_percent"						"%MAKS. ZDROWIE JAKO OBRAŻENIA:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy"									"Ghoul Frenzy"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_Description"						"Pasywnie sprawia, że ataki Lifestealera znacząco spowalniają szybkość ruchu wroga na %duration% s. Przyznaje ci szybkość ataku."
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_movement_slow"					"%SPOWOLNIENIE RUCHU:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_duration"						"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_attack_speed_bonus"				"PREMIA DO SZYBKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds"									"Open Wounds"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Lore"							"Świeże rany i zapach krwi zazwyczaj ściągają padlinożerców, którzy dokańczają dzieła."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Note0"							"Umiejętność spowalnia przez 8 kolejnych etapów zmieniających się co sekundę: 50%/50%/40%/30%/20%/10%/10%/10%."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Note1"							"Sumuje się z innymi źródłami kradzieży zdrowia."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_heal_percent"					"%KRADZIEŻ ZDROWIA:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_slow_tooltip"					"%MAKS. SPOWOLNIENIE:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_duration"						"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_abilitycastrange"					"ZASIĘG RZUTU:"
		"DOTA_Tooltip_ability_life_stealer_infest"										"Infest"
		"DOTA_Tooltip_ability_life_stealer_infest_Lore"									"Poprzez tę infekcję N'aix pożera świeżą krew nosiciela, co przywraca mu pełnię piekielnej mocy."
		"DOTA_Tooltip_ability_life_stealer_infest_Description"							"Lifestealer infekuje ciało wybranej jednostki, drzemiąc niewykrywalnie w organizmie oraz lecząc sobie część jego maksymalnego zdrowia co sekundę, gdy jest w środku. Może następnie wybuchnąć w ciele gospodarza, zadając obrażenia pobliskim wrogom. Jeśli jednostka jest wrogim lub neutralnym creepem, bohater uzyska zdolność poruszania i atakowania nią. Nie działa na wrogich bohaterów.\n\nTYP ROZPROSZENIA: zwykłe"
		"DOTA_Tooltip_ability_life_stealer_infest_Note0"								"Jeśli jednostka przenosząca Lifestealera zginie przed pożarciem jej, bohater nie zostanie uleczony."
		"DOTA_Tooltip_ability_life_stealer_infest_Note1"								"Lifestealer może cały czas zdobywać doświadczenie podczas chowania się w innej jednostce."
		"DOTA_Tooltip_ability_life_stealer_infest_Note2"								"Creepy kontrolowane za pomocą umiejętności Infest używają szybkości ruchu Lifestealera."
		"DOTA_Tooltip_ability_life_stealer_infest_Note3"								"Infest na poziomie 2. i 3. może zostać użyte na starożytnych creepach."
		"DOTA_Tooltip_ability_life_stealer_infest_damage"								"OBRAŻENIA:"
		"DOTA_Tooltip_ability_life_stealer_infest_radius"								"PROMIEŃ OBRAŻEŃ:"
		"DOTA_Tooltip_ability_life_stealer_infest_self_regen"								"%REGENERACJA MAKS. ZDROWIA DLA SIEBIE:"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_movement_speed"					"%SZYBKOŚĆ RUCHU:"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_health"							"PREMIA DO ZDROWIA:"
		//"DOTA_Tooltip_ability_life_stealer_infest_extra_damage"							"%DAMAGE FROM LIFESTEALER:"
		//"DOTA_Tooltip_ability_life_stealer_infest_extra_armor"							"%ARMOR FROM LIFESTEALER:"
		"DOTA_Tooltip_ability_life_stealer_infest_cooldown_scepter"						"CZAS OCZEKIWANIA (SCEPTER):"
		"DOTA_Tooltip_ability_life_stealer_infest_cast_range_scepter"					"ZASIĘG RZUTU (SCEPTER):"
		"DOTA_Tooltip_ability_life_stealer_control"										"Control"
		"DOTA_Tooltip_ability_life_stealer_control_Description"							"Lifestealer przejmuje kontrolę nad układem nerwowym swojej ofiary, przez co może on nią poruszać i atakować z jej wnętrza. Kontrolowane jednostki używają szybkości ruchu Lifestealera. Nie można użyć na bohaterach."
		"DOTA_Tooltip_ability_life_stealer_consume"										"Consume"
		"DOTA_Tooltip_ability_life_stealer_consume_Description"							"Lifestealer zżera ciało swojej ofiary, wybuchając od środka."
		"DOTA_Tooltip_ability_life_stealer_empty_1"										"
"
		"DOTA_Tooltip_ability_life_stealer_empty_1_Description"							"
"
		"DOTA_Tooltip_ability_life_stealer_empty_2"										"
"
		"DOTA_Tooltip_ability_life_stealer_empty_2_Description"							"
"
		"DOTA_Tooltip_ability_life_stealer_empty_3"										"
"
		"DOTA_Tooltip_ability_life_stealer_empty_3_Description"							"
"
		"DOTA_Tooltip_ability_life_stealer_empty_4"										"
"
		"DOTA_Tooltip_ability_life_stealer_empty_4_Description"							"
"
		"DOTA_Tooltip_ability_life_stealer_assimilate"							"Assimilate"
		"DOTA_Tooltip_ability_life_stealer_assimilate_Description"							"Lifestealer połyka sojuszniczego bohatera, który chowa się w jego wnętrzu. Wszystkie efekty leczące, działające na Lifestealera, otrzymuje także połknięty bohater. Przy opuszczaniu Lifestealera połknięty bohater powoduje wybuch, który zadaje obrażenia pobliskim wrogom.\n\nTYP ROZPROSZENIA: silne"
		"DOTA_Tooltip_ability_life_stealer_assimilate_damage"		"OBRAŻENIA OD ERUPCJI:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_radius"		"PROMIEŃ ERUPCJI:"		
		"DOTA_Tooltip_ability_life_stealer_assimilate_Lore"		"Jak N'aix mógłby się oprzeć szansie spróbowania sojusznika?"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject"							"Eject"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_Description"				"Wypuszcza połkniętego bohatera, zadając obrażenia pobliskim wrogom."
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_damage_tooltip"		"OBRAŻENIA OD ERUPCJI:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_radius_tooltip"			"PROMIEŃ ERUPCJI:"		

		"DOTA_Tooltip_modifier_life_stealer_infest"										"Opanowywanie ofiary"

		"DOTA_Tooltip_modifier_life_stealer_infest_enemy_hero"							"Zainfekowany"
		"DOTA_Tooltip_modifier_life_stealer_infest_enemy_hero_Description"				"Zainfekował cię wrogi bohater."

		"DOTA_Tooltip_modifier_life_stealer_rage" "Rage"
		"DOTA_Tooltip_modifier_life_stealer_rage_Description" "Zwiększenie szybkości ataku, niewrażliwość na czary i 100% odporności na obrażenia magiczne."
		"DOTA_Tooltip_modifier_life_stealer_open_wounds" "Open Wounds"
		"DOTA_Tooltip_modifier_life_stealer_open_wounds_Description"	"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_life_stealer_ghoul_frenzy_slow" "Ghoul Frenzy"
		"DOTA_Tooltip_modifier_life_stealer_ghoul_frenzy_slow_Description"	"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_life_stealer_assimilate" "Assimilate"
		"DOTA_Tooltip_modifier_life_stealer_assimilate_Description"	"Jednostka schowana wewnątrz Lifestealera. Wszystkie efekty leczące Lifestealera działają też na tę jednostkę.\n\nRuch, użycie umiejętności albo kliknięcie na tę ikonę spowodują wyjście z Lifestealera i wybuch, który zada obrażenia pobliskim wrogom."

		//FURION
		"DOTA_Tooltip_ability_furion_sprout"											"Sprout"
		"DOTA_Tooltip_ability_furion_sprout_Description"								"Tworzy pułapkę, otaczając jednostkę pierścieniem wyrastających drzew oraz zapewnia widoczność w promieniu %vision_range% jednostek."
		"DOTA_Tooltip_ability_furion_sprout_shard_description"							"Powoduje, że pierwsze dwa drzewa ze Sprout, które zostaną zniszczone, przyzywają Większe drzewce. W danym momencie tylko dwa Większe drzewce mogą być przy życiu."
		"DOTA_Tooltip_ability_furion_sprout_Lore"										"Zielone narośle są częstą dolegliwością, na którą narzekają przeciwnicy Nature's Propheta."
		"DOTA_Tooltip_ability_furion_sprout_Note0"										"Można użyć na dowolnej jednostce albo na ziemi."
		"DOTA_Tooltip_ability_furion_sprout_Note1"										"Drzewa utworzone przez Sprout podlegają tym samym interakcjom z umiejętnościami, jak każde inne drzewa."
		"DOTA_Tooltip_ability_furion_sprout_duration"									"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_furion_sprout_abilitycastrange"						"ZASIĘG RZUTU:"
		"DOTA_Tooltip_ability_furion_sprout_abilitydraft_note"							"Aghanim's Shard: Większe drzewce są przyzywane tylko, gdy wybrano Nature's Call."
		"DOTA_Tooltip_ability_furion_teleportation"										"Teleportation"
		"DOTA_Tooltip_ability_furion_teleportation_Description"							"Teleportuje do dowolnego punktu na mapie."
		"DOTA_Tooltip_ability_furion_teleportation_Lore"								"Nature's Prophet trzyma straż nad lasem, chroniąc go w potrzebie."
		"DOTA_Tooltip_ability_furion_teleportation_Note0"								"Mana zostanie zużyta i czas oczekiwania rozpocznie się, gdy czar zostanie rzucony. Nature's Prophet nie zużyje many i czas oczekiwania nie rozpocznie się, gdy czar zostanie przerwany podczas rzucania."
		"DOTA_Tooltip_ability_furion_teleportation_Note1"								"Gdy rozpoczyna się rzucanie czaru, w miejscu docelowym pojawia się efekt widoczny dla sojuszników i wrogów."
		"DOTA_Tooltip_ability_furion_teleportation_abilitycastpoint"					"CZAS RZUTU:"
		"DOTA_Tooltip_ability_furion_force_of_nature"									"Nature's Call"
		"DOTA_Tooltip_ability_furion_force_of_nature_Description"						"Przemienia drzewa na danym obszarze w drzewce pod kontrolą Nature's Propheta."
		"DOTA_Tooltip_ability_furion_force_of_nature_Lore"								"Verodicia obdarzyła swojego proroka zdolnością przyzwania drzewców - mitycznej, świadomej armii puszczy."
		"DOTA_Tooltip_ability_furion_force_of_nature_Note0"								"Liczba drzewców utworzonych za pomocą tej umiejętności jest ograniczona przez liczbę drzew w obszarze użycia."
		"DOTA_Tooltip_ability_furion_force_of_nature_duration"							"CZAS TRWANIA DRZEWCÓW:"
		"DOTA_Tooltip_ability_furion_force_of_nature_max_treants"						"LICZBA DRZEWCÓW:"
		"DOTA_Tooltip_ability_furion_force_of_nature_treant_health_tooltip"				"ZDROWIE DRZEWCÓW:"
		"DOTA_Tooltip_ability_furion_force_of_nature_treant_dmg_tooltip"				"OBRAŻENIA DRZEWCÓW:"
		"DOTA_Tooltip_ability_furion_wrath_of_nature"									"Wrath of Nature"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_Description"						"Niszczycielska energia odbija się po mapie, atakując widocznych przeciwników znajdujących się blisko punktu rzucenia czaru. Każdy następny trafiony wróg otrzymuje coraz większe obrażenia. Wrogowie, którzy umrą pod wpływem tego efektu, przyznają ci dodatkowe obrażenia na %kill_damage_duration% s."
		"DOTA_Tooltip_ability_furion_wrath_of_nature_Lore"								"Prorok Natury wzywa furię Verodicii, by poraziła tych, którzy mogliby zniszczyć dzicz."
		"DOTA_Tooltip_ability_furion_wrath_of_nature_Note0"								"Wrath of Nature nie działa na niewidoczne jednostki."
		"DOTA_Tooltip_ability_furion_wrath_of_nature_Note1"								"Można użyć na minimapie - wybrany zostanie najbliższy prawidłowy cel."
		"DOTA_Tooltip_ability_furion_wrath_of_nature_max_targets"						"MAKS. CELÓW:"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_damage"							"OBRAŻENIA:"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_damage_percent_add"				"%DODATKOWE OBRAŻENIA NA ODBICIE:"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_kill_damage"				"PREMIA DO OBRAŻEŃ NA JEDNOSTKĘ:"
		"DOTA_Tooltip_ability_furion_wrath_of_nature_kill_damage_duration"				"CZAS TRWANIA PREMII DO OBRAŻEŃ:"
		"DOTA_Tooltip_ability_furion_greater_sprout"			                "Greater Sprout"
		"DOTA_Tooltip_ability_furion_greater_sprout_Description"	            "Tworzy większy krąg drzew na obszarze działania 300 jednostek na %duration% s. Usidla wrogów w środku na 2 sekundy, zadając 150 obrażeń na sekundę."
		"DOTA_Tooltip_ability_furion_greater_sprout_duration"	                "CZAS TRWANIA:"

		"DOTA_Tooltip_modifier_furion_wrathofnature_spawn" "Wrath of Nature"
		"DOTA_Tooltip_modifier_furion_wrathofnature_spawn_Description"	"Śmierć spowoduje narodziny drzewca."

		"DOTA_Tooltip_modifier_furion_wrathofnature_buff_counter" "Wrath of Nature"
		"DOTA_Tooltip_modifier_furion_wrathofnature_buff_counter_Description"	"Otrzymywanie dodatkowych %dMODIFIER_PROPERTY_TOOLTIP% pkt. obrażeń."
		"DOTA_Tooltip_modifier_furion_sprout_entangle" "Wrath of Nature"
		"DOTA_Tooltip_modifier_furion_sprout_entangle_Description"	"Ukorzeniono."

		"DOTA_Tooltip_modifier_treant_bonus"		"Premia dla drzewców"
		"DOTA_Tooltip_modifier_treant_large_bonus"	"Premia dla drzewców"

		//WINDRUNNER
		"DOTA_Tooltip_ability_windrunner_focusfire"										"Focus Fire"
		"DOTA_Tooltip_ability_windrunner_focusfire_Description" 						"Windranger zaklina wiatr, zyskując %bonus_attack_speed% szybkości ataku przeciw pojedynczej wrogiej jednostce lub budynkowi, ale tracąc nieco na sile ataków. Dodatkowe obrażenia pochodzące z przedmiotów nie są redukowane."
		"DOTA_Tooltip_ability_windrunner_focusfire_Lore"								"Umiejętność przykrycia przeciwników deszczem strzał Lyralei jest niezrównana nawet kosztem celności."
		"DOTA_Tooltip_ability_windrunner_focusfire_Note0"								"Wydanie rozkazu utrzymania pozycji wstrzyma ataki Windranger."
		"DOTA_Tooltip_ability_windrunner_focusfire_Note1"								"Windranger może się poruszać podczas atakowania."
		"DOTA_Tooltip_ability_windrunner_focusfire_bonus_attack_speed" 					"PREMIA DO SZYBKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_windrunner_focusfire_focusfire_damage_reduction" 			"%REDUKCJA OBRAŻEŃ:"
		"DOTA_Tooltip_ability_windrunner_focusfire_abilityduration"						"CZAS TRWANIA:"		
		
		"DOTA_Tooltip_ability_windrunner_focusfire_cancel"								"Focus Fire – anulowanie"
		"DOTA_Tooltip_ability_windrunner_focusfire_cancel_Description" 						"Zakończ swoje Focus Fire wcześnie."

		"DOTA_Tooltip_ability_windrunner_powershot"										"Powershot"
		"DOTA_Tooltip_ability_windrunner_powershot_Lore"								"Lyralei nauczyła się podczas pierwszych lat jej treningu wystrzeliwać potężne strzały, które przebijały się nawet przez drzewa, aby dotrzeć do celu."
		"DOTA_Tooltip_ability_windrunner_powershot_Note0"								"Powershot niszczy drzewa na obszarze działania."
		"DOTA_Tooltip_ability_windrunner_powershot_arrow_range"							"ZASIĘG:"
		"DOTA_Tooltip_ability_windrunner_powershot_powershot_damage"					"OBRAŻENIA:"
		"DOTA_Tooltip_ability_windrunner_shackleshot"									"Shackleshot"
		"DOTA_Tooltip_ability_windrunner_shackleshot_Description"						"Zakuwa w kajdany cel do wrogiej jednostki lub drzewa w linii tuż za nim. Jeśli za celem nie ma żadnej jednostki lub drzewa, czas trwania ogłuszenia jest skrócony do %fail_stun_duration% s."
		"DOTA_Tooltip_ability_windrunner_shackleshot_Lore"								"Pełen wachlarz umiejętności łuczniczych Windranger zawiera wystrzeliwanie strzały z przywiązaną grubą liną, którą można skrępować dowolny uciekający cel."
		"DOTA_Tooltip_ability_windrunner_shackleshot_Note0"								"Ten czar może związać ze sobą dwóch wrogów, ogłuszając obu z nich."
		"DOTA_Tooltip_ability_windrunner_shackleshot_Note1"								"Może przywiązać cel do wrogiej jednostki lub drzewa oddalonych o maksymalnie %shackle_distance% jednostek za celem."
		"DOTA_Tooltip_ability_windrunner_shackleshot_Note2"								"Shackleshot może zostać rozłączone."
		"DOTA_Tooltip_ability_windrunner_shackleshot_stun_duration"						"CZAS TRWANIA SKRĘPOWANIA:"
		"DOTA_Tooltip_ability_windrunner_windrun"										"Windrun"
		"DOTA_Tooltip_ability_windrunner_windrun_Description" 							"Zwiększa szybkość ruchu i pozwala na uniknięcie wszystkich ataków fizycznych, jednocześnie spowalniając szybkość ruchu pobliskich wrogów."
		"DOTA_Tooltip_ability_windrunner_windrun_Lore"									"Lyralei zaklina podmuchy wiatru, aby odbijały nadchodzące ataki."
		"DOTA_Tooltip_ability_windrunner_windrun_Note0"									"Aktywacja Windrun pozwoli uniknąć nadlatujących pocisków."
		"DOTA_Tooltip_ability_windrunner_windrun_evasion_pct_tooltip"					"%UNIK:"
		"DOTA_Tooltip_ability_windrunner_windrun_enemy_movespeed_bonus_pct"				"%SPOWOLNIENIE WROGA:"
		"DOTA_Tooltip_ability_windrunner_windrun_radius"								"PROMIEŃ SPOWOLNIENIA WROGA:"
		"DOTA_Tooltip_ability_windrunner_windrun_duration"								"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_windrunner_windrun_movespeed_bonus_pct"					"%PREMIA DO SZYBKOŚCI RUCHU:"

		"DOTA_Tooltip_modifier_windrunner_shackle_shot"				"Shackleshot"
		"DOTA_Tooltip_modifier_windrunner_shackle_shot_Description"	"Unieruchomiono grubymi linami wiążącej strzały Windranger."
		"DOTA_Tooltip_modifier_windrunner_windrun"					"Windrun"
		"DOTA_Tooltip_modifier_windrunner_windrun_Description"		"Szybkość ruchu zwiększona o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, unikanie wszystkich ataków fizycznych"
		"DOTA_Tooltip_modifier_windrunner_windrun_slow"				"Windrun – spowolnienie"
		"DOTA_Tooltip_modifier_windrunner_windrun_slow_Description"	"Podmuchy wiatru wokół Windranger spowalniają twoją szybkość ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_windrunner_windrun_invis"			"Niewidzialność z Windrun"
		"DOTA_Tooltip_modifier_windrunner_windrun_invis_Description"			"Nie można cię dostrzec poza nikłą bryzą, którą za sobą pozostawiasz."
		"DOTA_Tooltip_modifier_windrunner_focusfire"				"Focus Fire"
