"lang"
{ 
	"Language" "japanese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"HP"					// $health
		"dota_ability_variable_mana"				"マナ"						// $mana
		"dota_ability_variable_armor"				"アーマー"						// $armor
		"dota_ability_variable_damage"				"ダメージ"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"すべての属性"			// $all
		"dota_ability_variable_attack"				"攻撃速度"				// $attack
		"dota_ability_variable_mana_regen"			"マナ自然回復"			// $mana_regen
		"dota_ability_variable_spell_amp"			"スペルダメージ"				// $spell_amp
		"dota_ability_variable_move_speed"			"移動速度"			// $move_speed
		"dota_ability_variable_evasion"				"回避"					// $evasion
		"dota_ability_variable_selected_attrib"		"選択中の属性"		// $selected_attribute
		"dota_ability_variable_attack_range"		"攻撃範囲 <font color='#7d7d7d'>(Ranged のみ)</font>"	// $attack_range
		"dota_ability_variable_cast_range"			"キャスト範囲"				// $cast_range
//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"属性値ボーナス"
		"DOTA_Tooltip_ability_witch_doctor_paralyzing_cask_Lore"						"倒れた味方と敵の骨を再利用し粉末にして、彼の数ある魔力と魔術の一部として用いる。"
		"DOTA_Tooltip_ability_witch_doctor_paralyzing_cask_Note0"						"バウンスの間に当るユニットが別にある限り、対象に複数回命中することもある。"
		"DOTA_Tooltip_ability_witch_doctor_voodoo_restoration"							"Voodoo Restoration"
		"DOTA_Tooltip_ability_witch_doctor_voodoo_restoration_Lore"						"彼は奇術で敵を呪うだけでなく、病を治すことにも長けている。"
		"DOTA_Tooltip_ability_witch_doctor_voodoo_restoration_mana_per_second"			"マナ／秒:"
		"DOTA_Tooltip_ability_witch_doctor_voodoo_restoration_radius"					"範囲:"
		"DOTA_Tooltip_ability_witch_doctor_maledict"									"Maledict"
		"DOTA_Tooltip_ability_witch_doctor_maledict_Lore"								"避けられないブードゥー魔術は敵に、Witch Doctorとの交戦を後悔させる。"
		"DOTA_Tooltip_ability_witch_doctor_maledict_radius"								"範囲:"
		"DOTA_Tooltip_ability_witch_doctor_death_ward"									"Death Ward"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_Lore"								"儀式的な舞を踊り、それを語ろうとする者の夢は永遠に悩ませ続けられる。"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_Note0"							"The Death Ward は無敵であり、 Witch Doctor が邪魔を受けたときか、持続時間が切れたときのみ破壊される。"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_Note1"							"Death Ward はコントロール可能で、特定の目標を攻撃させることが出来る。"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_damage"							"ダメージ："
		"DOTA_Tooltip_modifier_voodoo_restoration_heal"					"Voodoo Restoration"
		"DOTA_Tooltip_modifier_maledict"								"Maledict"
		"DOTA_Tooltip_modifier_maledict_Description"					"呪われている。徐々にダメージを受け、呪いが始まった時から失われたHPに応じて4秒間に一度ボーナスダメージを受ける。"

		//LESHRAC
		"DOTA_Tooltip_ability_leshrac_split_earth"										"Split Earth"
		"DOTA_Tooltip_ability_leshrac_split_earth_Description"							"敵の下の大地を引き裂く。ダメージと短期スタンを与える。"
		"DOTA_Tooltip_ability_leshrac_split_earth_Lore"									"卑劣な意思で性質を捻じ曲げて大地を変形させ、Leshrac の行く手に居た不幸者を破壊する。"
		"DOTA_Tooltip_ability_leshrac_split_earth_Note0"								"Split Earth は範囲内の木々を破壊する。"
		"DOTA_Tooltip_ability_leshrac_split_earth_radius"								"範囲:"
		"DOTA_Tooltip_ability_leshrac_split_earth_duration"								"スタン持続時間："
		"DOTA_Tooltip_ability_leshrac_split_earth_delay"								"スタン遅延："
		"DOTA_Tooltip_ability_leshrac_diabolic_edict"									"Diabolic Edict"
		"DOTA_Tooltip_ability_leshrac_diabolic_edict_Lore"								"次元を超えてChrpmptic のエネルギーが爆発し、触れる物全てを蒸発させる。"
		"DOTA_Tooltip_ability_leshrac_diabolic_edict_radius"							"範囲:"
		"DOTA_Tooltip_ability_leshrac_diabolic_edict_num_explosions"					"爆発："
		"DOTA_Tooltip_ability_leshrac_lightning_storm"									"Lightning Storm"
		"DOTA_Tooltip_ability_leshrac_lightning_storm_Lore"								"要素に精通していることは、行く手を阻む軍を打ち倒す強大な嵐に現れている。"
		"DOTA_Tooltip_ability_leshrac_lightning_storm_jump_count"						"雷雨打撃数:"
		"DOTA_Tooltip_ability_leshrac_lightning_storm_slow_movement_speed"		        "%移動減速："
		"DOTA_Tooltip_ability_leshrac_lightning_storm_slow_duration"					"減速 持続時間:"
		"DOTA_Tooltip_ability_leshrac_lightning_storm_radius"							"飛び跳ねる範囲:"
		"DOTA_Tooltip_ability_leshrac_pulse_nova"										"Pulse Nova"
		"DOTA_Tooltip_ability_leshrac_pulse_nova_Lore"									"必要ならば、下等生物を破壊することになるが、時空自体をも操作することができる。"
		"DOTA_Tooltip_ability_leshrac_pulse_nova_radius"								"範囲:"
		"DOTA_Tooltip_ability_leshrac_pulse_nova_mana_cost_per_second"					"マナ/秒:"
		"DOTA_Tooltip_ability_leshrac_pulse_nova_damage"								"ダメージ："

		"DOTA_Tooltip_modifier_leshrac_lightning_storm_slow" "Lightning Storm 減速"
		"DOTA_Tooltip_modifier_leshrac_pulse_nova" "Pulse Nova"
		"DOTA_Tooltip_modifier_leshrac_pulse_nova_Description" "周囲の敵ユニットにダメージを与える"
		"DOTA_Tooltip_modifier_leshrac_diabolic_edict" "Diabolic Edict"
		"DOTA_Tooltip_modifier_leshrac_diabolic_edict_Description" "周囲の敵ユニットにダメージを与える"
		//JUGGERNAUT
		"DOTA_Tooltip_ability_juggernaut_blade_fury"									"Blade Fury"
		"DOTA_Tooltip_ability_juggernaut_blade_fury_Lore"								"Yurneroの名高い刀さばきは戦士にも魔法使いにも同様に恐れられている。"
		"DOTA_Tooltip_ability_juggernaut_blade_fury_blade_fury_radius"					"範囲:"
		"DOTA_Tooltip_ability_juggernaut_blade_fury_blade_fury_damage"					"ダメージ:"
		"DOTA_Tooltip_ability_juggernaut_healing_ward"									"Healing Ward"
		"DOTA_Tooltip_ability_juggernaut_healing_ward_Lore"								"Masks 島に伝わる儀式で、少しのブードゥー魔術で傷を治すことは有効であることが証明されている。"
		"DOTA_Tooltip_ability_juggernaut_healing_ward_healing_ward_heal_amount"			"%毎秒最大HP:"
		"DOTA_Tooltip_ability_juggernaut_blade_dance"									"Blade Dance"
		"DOTA_Tooltip_ability_juggernaut_blade_dance_Lore"								"伝統の剣術を継ぐ最後の残党である彼は、その形式の継続性を確実にする。"
		"DOTA_Tooltip_ability_juggernaut_blade_dance_blade_dance_crit_mult"				"%クリティカルダメージ:"
		"DOTA_Tooltip_ability_juggernaut_blade_dance_blade_dance_crit_chance"			"%クリティカルの確率:"
		"DOTA_Tooltip_ability_juggernaut_omni_slash"									"Omnislash"
		"DOTA_Tooltip_ability_juggernaut_omni_slash_Lore"								"'鍛錬の成果; 研鑽は力となる。'"
		"DOTA_Tooltip_ability_juggernaut_omni_slash_omni_slash_radius"					"SLASH ジャンプの範囲:"
		"DOTA_Tooltip_modifier_juggernaut_blade_fury"						"Blade Fury"
		"DOTA_Tooltip_modifier_juggernaut_blade_dance"						"Blade Dance"
		"DOTA_Tooltip_modifier_juggernaut_healing_ward_aura"				"Healing Ward"
		"DOTA_Tooltip_modifier_juggernaut_healing_ward_heal"				"Healing Ward Aura"
		"DOTA_Tooltip_modifier_juggernaut_healing_ward_heal_Description"	"毎秒%dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%%のHPを回復する"
		"DOTA_Tooltip_modifier_juggernaut_omnislash"						"Omnislash"
		"DOTA_Tooltip_modifier_juggernaut_omnislash_Description"			"無敵状態。範囲内の敵ユニットを攻撃する。"

		//PUDGE
		"DOTA_Tooltip_ability_pudge_meat_hook"											"Meat Hook"
		"DOTA_Tooltip_ability_pudge_meat_hook_Lore"										"悪夢の象徴であるフックの曲線を描いた刃は、彼の残忍な目的を恐怖と共に思い出させる。"

		"DOTA_Tooltip_ability_pudge_meat_hook_Note0"									"最初の標的が敵だった場合、魔法の詠唱を中断させる。"
		"DOTA_Tooltip_ability_pudge_meat_hook_Note1"									"Meat Hook は不可視のユニットに的中する。"
		"DOTA_Tooltip_ability_pudge_meat_hook_Note3"									"Meat Hook は味方ユニットも引っ張ることができるが、その場合ダメージは加えない。"
		"DOTA_Tooltip_ability_pudge_rot"												"Rot"
		"DOTA_Tooltip_ability_pudge_rot_Description"									"立ち込める毒で強烈なダメージを与え移動速度を低下させるが、敵ユニットだけでなくPudge自身も被害を受ける。"
		"DOTA_Tooltip_ability_pudge_rot_Lore"											"腐敗し腫れ続けるButcherの身体から発生する、有毒で、窒息性のガスである悪臭。"
		"DOTA_Tooltip_ability_pudge_rot_Note0"											"Rot の使用は詠唱を中断することはない。"
		"DOTA_Tooltip_ability_pudge_rot_Note1"											"Rot は不可視のユニットも攻撃する。"
		"DOTA_Tooltip_ability_pudge_rot_Note2"											"Rot を有効化した後にサイレンスを受けた場合、サイレンスの最中は無効化することができない。"
		"DOTA_Tooltip_ability_pudge_rot_rot_radius"										"範囲:"
		"DOTA_Tooltip_ability_pudge_rot_rot_slow"										"%減速："
		"DOTA_Tooltip_ability_pudge_rot_rot_damage"										"ダメージ:"
		"DOTA_Tooltip_ability_pudge_flesh_heap"											"Flesh Heap"
		"DOTA_Tooltip_ability_pudge_flesh_heap_Lore"									"\"肉の盾\"という言葉に新たな意味を見出した。"
		"DOTA_Tooltip_ability_pudge_flesh_heap_flesh_heap_strength_buff_amount"			"STRENGTHボーナス:"
		"DOTA_Tooltip_ability_pudge_flesh_heap_flesh_heap_range"						"範囲:"
		"DOTA_Tooltip_ability_pudge_dismember"											"Dismember"
		"DOTA_Tooltip_ability_pudge_dismember_Lore"										"\"くず共を片付けて、パイにしてやろう！\""
		"DOTA_Tooltip_ability_pudge_dismember_dismember_damage"							"ダメージ／秒："
		"DOTA_Tooltip_modifier_pudge_rot"						"Rot"
		"DOTA_Tooltip_modifier_pudge_rot_Description"			"範囲内のすべての戦士に毎秒ダメージを与える。"
		"DOTA_Tooltip_modifier_pudge_flesh_heap"				"Flesh Heap"
		"DOTA_Tooltip_modifier_pudge_dismember"					"Dismember"
		"DOTA_Tooltip_modifier_pudge_dismember_Description"		"Pudgeに喰われている。"
		"DOTA_Tooltip_modifier_pudge_meat_hook"					"Meat Hook"
		"DOTA_Tooltip_modifier_pudge_meat_hook_Description"		"こっちにおいで！"
		//BANE
		"DOTA_Tooltip_ability_bane_enfeeble"											"Enfeeble"
		"DOTA_Tooltip_ability_bane_brain_sap"											"Brain Sap"
		"DOTA_Tooltip_ability_bane_brain_sap_Lore"										"Atroposにとって、与えた恐怖を刈り取る事に勝る喜びは無い。"
		"DOTA_Tooltip_ability_bane_nightmare"											"Nightmare"
		"DOTA_Tooltip_ability_bane_nightmare_Lore"										"女神Nyctashaから盗まれた能力は、彼の犠牲者を永遠の眠りにつかせるものだ。"
		"DOTA_Tooltip_ability_bane_nightmare_Note0"										"Nightmare の最初の1秒間は、ユニットは無敵状態。"
		"DOTA_Tooltip_ability_bane_nightmare_duration"									"効果時間:"				
		"DOTA_Tooltip_ability_bane_nightmare_end"										"Nightmare End"
		"DOTA_Tooltip_ability_bane_nightmare_end_Description"							"継続する悪夢をすべて終わらせる。"
		"DOTA_Tooltip_ability_bane_fiends_grip"											"Fiend's Grip"
		"DOTA_Tooltip_ability_bane_fiends_grip_Lore"									"Atroposの犠牲者は自らの悪夢に広がる生々しい呪文でたびたび胸が引き裂かれそうになる。"
		"DOTA_Tooltip_ability_bane_fiends_grip_fiend_grip_damage"						"ダメージ："
		//EARTHSHAKER
		"DOTA_Tooltip_ability_earthshaker_fissure"										"Fissure"
		"DOTA_Tooltip_ability_earthshaker_fissure_Lore"									"Nishianトーテムは地殻変動による力によって大地をその核まで引き裂く。"
		"DOTA_Tooltip_ability_earthshaker_fissure_fissure_range"						"FISSURE 範囲:"		
		"DOTA_Tooltip_ability_earthshaker_fissure_fissure_duration"						"地割れの持続時間:"
		"DOTA_Tooltip_ability_earthshaker_fissure_stun_duration"						"スタン持続時間："								
		"DOTA_Tooltip_ability_earthshaker_enchant_totem"								"Enchant Totem"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_Lore"							"Raigorは山を破壊するほど強力だ。"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_Note0"							"ボーナスダメージは、基本ダメージと第一属性に基づく。"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_totem_damage_percentage"		"%ボーナス："
		"DOTA_Tooltip_ability_earthshaker_aftershock"									"Aftershock"
		"DOTA_Tooltip_ability_earthshaker_aftershock_Description"						"Earthshakerがアビリティを発動する際、足元の地面を揺らして周囲の敵ユニットに追加ダメージとスタンを与える。"
		"DOTA_Tooltip_ability_earthshaker_aftershock_Lore"								"Raigorの力強い足取りの下で大地が揺れる。"
		"DOTA_Tooltip_ability_earthshaker_aftershock_Note0"								"アイテムの使用は Aftershock を発動しない。"
		"DOTA_Tooltip_ability_earthshaker_aftershock_aftershock_range"					"範囲:"
		"DOTA_Tooltip_ability_earthshaker_echo_slam"									"Echo Slam"
		"DOTA_Tooltip_ability_earthshaker_echo_slam_Lore"								"地殻プレートに亀裂を入れ、山を褶曲させ、敵を粉砕する。"
		"DOTA_Tooltip_ability_earthshaker_echo_slam_echo_slam_echo_damage"				"ECHOのダメージ："
		"DOTA_Tooltip_ability_earthshaker_echo_slam_echo_slam_damage_range"				"範囲:"
		"DOTA_Tooltip_modifier_earthshaker_enchant_totem"				"Enchant Totem"
		"DOTA_Tooltip_modifier_earthshaker_enchant_totem_Description"	"次の攻撃でダメージが%dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%上昇する。"
		"DOTA_Tooltip_modifier_earthshaker_fissure_stun"				"Fissure"
		"DOTA_Tooltip_modifier_earthshaker_fissure_stun_Description"	"EarthshakerのFissureによるスタン。"

		//SANDKING
		"DOTA_Tooltip_ability_sandking_burrowstrike"									"Burrowstrike"
		"DOTA_Tooltip_ability_sandking_burrowstrike_Lore"								"地下に潜んで、待ち伏せしながら敵を虎視眈々と狙う。"
		"DOTA_Tooltip_ability_sandking_burrowstrike_burrow_duration"					"スタン持続時間："
		"DOTA_Tooltip_ability_sandking_sand_storm"										"Sand Storm"
		"DOTA_Tooltip_ability_sandking_sand_storm_Lore"									"Crixalis を幻だと言う者もいる：その背甲は現れたと思った瞬間、Scintillant の荒れ地で回転する砂の中に消えていく。"
		"DOTA_Tooltip_ability_sandking_sand_storm_Note0"								"発射体を避けるために Sand Storm を使用することができる。"
		"DOTA_Tooltip_ability_sandking_sand_storm_AbilityDuration"						"持続時間："
		"DOTA_Tooltip_ability_sandking_sand_storm_sand_storm_radius"					"範囲:"
		"DOTA_Tooltip_ability_sandking_caustic_finale"									"Caustic Finale"
		"DOTA_Tooltip_ability_sandking_caustic_finale_Lore"								"たった一滴の毒で標的の身体をもろく、極度に乾燥させ、内側から破壊していく。"
		"DOTA_Tooltip_ability_sandking_caustic_finale_caustic_finale_slow"				"%移動減速:"
		"DOTA_Tooltip_ability_sandking_epicenter"										"Epicenter"
		"DOTA_Tooltip_ability_sandking_epicenter_Lore"									"Scintillant 荒地を訪れた多数の探険家は流砂の中に消えていった。"
		"DOTA_Tooltip_ability_sandking_epicenter_Note0"									"波動は詠唱地点ではなく、 Sand King を中心に広がる。"
		"DOTA_Tooltip_ability_sandking_epicenter_epicenter_pulses"						"波動の数:"
		"DOTA_Tooltip_ability_sandking_epicenter_epicenter_damage"						"波動毎のダメージ："
		"DOTA_Tooltip_ability_sandking_epicenter_epicenter_slow"						"%移動減速："
		"DOTA_Tooltip_modifier_sandking_impale"						"Burrowstrike"
		"DOTA_Tooltip_modifier_sandking_impale_Description"			"Sand Kingによるスタン。"
		"DOTA_Tooltip_modifier_sandking_sand_storm"					"Sand Storm"
		"DOTA_Tooltip_modifier_sand_king_caustic_finale_orb"		"Caustic Finale"
		"DOTA_Tooltip_modifier_sand_king_caustic_finale_orb_Description"	"Sand Kingの攻撃で体内に毒を注入されている。あなたの死亡時に爆発し、周囲にダメージを与える。"
		"DOTA_Tooltip_modifier_sand_king_caustic_finale_slow"		"Caustic Finale 減速"
		"DOTA_Tooltip_modifier_sand_king_epicenter"						"Epicenter"
		"DOTA_Tooltip_modifier_sand_king_epicenter_Description"			"地脈を乱し、範囲内にダメージと減速を与える。"
		"DOTA_Tooltip_modifier_sand_king_epicenter_slow"				"Epicenter Slow"
		//NEVERMORE
		"DOTA_Tooltip_ability_nevermore_shadowraze1"									"Shadowraze"
		"DOTA_Tooltip_ability_nevermore_shadowraze1_Lore"								"魂の捕獲は彼のトレードマークである。"
		"DOTA_Tooltip_ability_nevermore_shadowraze1_shadowraze_range"					"射程:"
		"DOTA_Tooltip_ability_nevermore_shadowraze1_duration"							"スタック持続時間："
		"DOTA_Tooltip_ability_nevermore_shadowraze2"									"Shadowraze"
		"DOTA_Tooltip_ability_nevermore_shadowraze2_Lore"								"魂の捕獲は彼のトレードマークである。"
		"DOTA_Tooltip_ability_nevermore_shadowraze2_shadowraze_range"					"射程:"
		"DOTA_Tooltip_ability_nevermore_shadowraze2_duration"							"スタック持続時間："
		"DOTA_Tooltip_ability_nevermore_shadowraze3"									"Shadowraze"
		"DOTA_Tooltip_ability_nevermore_shadowraze3_Lore"								"魂の捕獲は彼のトレードマークである。"
		"DOTA_Tooltip_ability_nevermore_shadowraze3_shadowraze_range"					"射程:"
		"DOTA_Tooltip_ability_nevermore_shadowraze3_duration"							"スタック持続時間："
		"DOTA_Tooltip_ability_nevermore_necromastery"									"Necromastery"		
		"DOTA_Tooltip_ability_nevermore_necromastery_Lore"								"Harvested はAbysmの内外を駆け抜け、捕獲数が多いほど Shadow Fiend に力を与える。"
		"DOTA_Tooltip_ability_nevermore_necromastery_Note0"								"ディナイや中立クリープも Necromastery にボーナスダメージを与える。"
		"DOTA_Tooltip_ability_nevermore_necromastery_necromastery_max_souls"			"魂の最大数:"
		"DOTA_Tooltip_ability_nevermore_necromastery_necromastery_damage_per_soul"		"魂1つごとの攻撃力:"
		"DOTA_Tooltip_ability_nevermore_dark_lord"										"Presence of the Dark Lord"
		"DOTA_Tooltip_ability_nevermore_dark_lord_Description"							"近くの敵ユニットのアーマーを低下させる。"
        "DOTA_Tooltip_ability_nevermore_dark_lord_Lore"									"Nevermore のそばに近づくだけでその魂は侵食される。"
		"DOTA_Tooltip_ability_nevermore_dark_lord_Note0"								"他のアーマー低下アビリティやオーラと重なる。"
		"DOTA_Tooltip_ability_nevermore_dark_lord_presence_armor_reduction"				"低下:"
		"DOTA_Tooltip_ability_nevermore_dark_lord_presence_radius"						"範囲:"
		"DOTA_Tooltip_ability_nevermore_requiem"										"Requiem of Souls"
		"DOTA_Tooltip_ability_nevermore_requiem_requiem_reduction_ms"					"%移動減速:"
		"DOTA_Tooltip_ability_nevermore_requiem_Lore"									"殺され、捕らえられた魂が放出され、生前の仲間を痛めつける。"
