"lang"
{ 
	"Language" "italian" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"di salute"					// $health
		"dota_ability_variable_mana"				"di mana"						// $mana
		"dota_ability_variable_armor"				"di armatura"						// $armor
		"dota_ability_variable_damage"				"di danno"					// $damage
		"dota_ability_variable_str"					"di Forza"					// $str
		"dota_ability_variable_int"					"di Intelligenza"				// $int
		"dota_ability_variable_agi"					"di Agilità"					// $agi
		"dota_ability_variable_all"					"a tutti gli attributi"			// $all
		"dota_ability_variable_primary_attribute"	"all'attributo primario"			// $primary_attribute
		"dota_ability_variable_attack"				"di velocità di attacco"				// $attack
		"dota_ability_variable_hp_regen"			"di rigenerazione della salute"		// $hp_regen
		"dota_ability_variable_lifesteal"			"di prosciugamento della salute"					// $lifesteal
		"dota_ability_variable_mana_regen"			"di rigen. del mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"di rigen. del mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"di danno degli incantesimi"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"alla durata degli effetti negativi"			// $debuff_amp
		"dota_ability_variable_move_speed"			"di velocità di movimento"			// $move_speed
		"dota_ability_variable_evasion"				"di elusività"					// $evasion
		"dota_ability_variable_spell_resist"		"di resistenza alla magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"di prosciugamento dagli incantesimi"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"di prosciugamento dagli incantesimi (creep)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"di prosciugamento dagli incantesimi (Eroi)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"all'attributo selezionato"		// $selected_attribute
		"dota_ability_variable_attack_range"		"di gittata d'attacco <font color='#7d7d7d'>(solo a distanza)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"di gittata d'attacco <font color='#7d7d7d'>(solo da mischia)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"di gittata di lancio"				// $cast_range
		"dota_ability_variable_status_resist"		"di resistenza agli stati"			// $status_resist
		"dota_ability_variable_projectile_speed"	"di velocità dei proiettili"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"di riduzione dei costi in mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"di riduzione dei tempi di ricarica"		// $cooldown_reduction 

		"dota_ability_variable_damage_int_hero"	"di danno (Eroi Intelligenza)"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_cooldown_scepter"					"TEMPO DI RICARICA:"
		"DOTA_Tooltip_ability_queenofpain_sonic_wave_damage_scepter"					"DANNO:"

		"DOTA_Tooltip_modifier_queenofpain_shadow_strike"			"Attacco d'ombra"					
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike_Description"		"Sta subendo danni prolungati nel tempo e si muove più lentamente del %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear"							"Spavento"
		"DOTA_Tooltip_modifier_queenofpain_scream_of_pain_fear_description"							"Spaventato da Urlo del dolore."

		//LINA
		"DOTA_Tooltip_ability_lina_dragon_slave"										"Schiavo dragone"
		"DOTA_Tooltip_ability_lina_dragon_slave_Description"							"Nome in inglese: <font color='#F2A93E'>Dragon Slave</font>\n \nLina canalizza il respiro di un drago, emettendo un'onda di fuoco che brucia ogni nemico sul suo cammino."
		"DOTA_Tooltip_ability_lina_dragon_slave_Lore"									"Nelle aride e arse terre di Misrule, Lina ha imparato a manipolare il respiro ardente di una Viverna del Deserto come forma di intrattenimento."
		"DOTA_Tooltip_ability_lina_dragon_slave_Note0"									"Lo Schiavo dragone può colpire Unità distanti fino a 1255 unità."
		"DOTA_Tooltip_ability_lina_light_strike_array"									"Colonna di luce solare"
		"DOTA_Tooltip_ability_lina_light_strike_array_Description"						"Nome in inglese: <font color='#F2A93E'>Light Strike Array</font>\n \nInvoca una colonna di fuoco che danneggia e stordisce i nemici nell'area bersagliata."
		"DOTA_Tooltip_ability_lina_light_strike_array_Lore"								"L'essenza di Lina le consente di focalizzare l'energia del Sole, facendo bruciare l'aria con la sola forza di volontà."
		"DOTA_Tooltip_ability_lina_light_strike_array_Note0"							"La Colonna di luce solare distruggerà gli alberi nella sua area di effetto."
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_aoe"			"RAGGIO:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_stun_duration"	"DURATA DELLO STORDIMENTO:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_delay_time"	"TEMPO DI LANCIO:"
		"DOTA_Tooltip_ability_lina_light_strike_array_light_strike_array_damage"		"DANNO:"
		"DOTA_Tooltip_ability_lina_fiery_soul"											"Animo focoso"
		"DOTA_Tooltip_ability_lina_fiery_soul_Description"								"Nome in inglese: <b><font color='#F2A93E'>Fiery Soul</font></b>\n \nAumenta temporaneamente le velocità di attacco e di movimento di Lina ogni volta che colpisce un nemico con un incantesimo. L'effetto è cumulabile e ha una durata di %fiery_soul_stack_duration% secondi."
		"DOTA_Tooltip_ability_lina_fiery_soul_shard_description"						"Il danno degli incantesimi di Lina aumenta di %shard_bonus_spell_damage% per ogni carica di Animo focoso."
		"DOTA_Tooltip_ability_lina_fiery_soul_Lore"										"Le fiamme danzanti incarnano la natura giocosa di Lina, rivelando la sua indole ardente."
		"DOTA_Tooltip_ability_lina_fiery_soul_Note0"									"La durata si ripristina ogni volta che un avversario viene colpito da un incantesimo."
		"DOTA_Tooltip_ability_lina_fiery_soul_Note1"									"Usare oggetti non attiverà Animo focoso."
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"			"VELOCITÀ DI ATTACCO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_move_speed_bonus"				"%VELOCITÀ DI MOVIMENTO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_max_stacks"					"ISTANZE MASSIME:"
		"DOTA_Tooltip_ability_lina_fiery_soul_fiery_soul_stack_duration"				"DURATA:"
		"DOTA_Tooltip_ability_lina_laguna_blade"										"Lama della laguna"
		"DOTA_Tooltip_ability_lina_laguna_blade_Description"							"Nome in inglese: <b><font color='#F2A93E'>Laguna Blade</font></b>\n \nScaglia un fulmine contro una singola Unità nemica, danneggiandola gravemente."
		"DOTA_Tooltip_ability_lina_laguna_blade_Lore"									"L'aria intorno a Lina diventa così intensamente torrida da carbonizzare un nemico che si è avvicinato troppo con un fulmine arroventato."
		"DOTA_Tooltip_ability_lina_laguna_blade_Note0"									"C'è un ritardo di %damage_delay% secondi prima che il danno venga applicato dopo l'utilizzo di Lama della laguna, il che permette a certe abilità di evitare di subire i danni."
		"DOTA_Tooltip_ability_lina_laguna_blade_damage"									"DANNO:"
		"DOTA_Tooltip_ability_lina_laguna_blade_shard_description"					    "Aumenta di 250 la gittata di lancio di Lama della laguna e fa sì che percorra l'intera distanza di lancio, colpendo tutte le Unità che incontra. Lama della laguna può bersagliare il terreno. Riduce di 100 il costo in mana di Lama della laguna."
		"DOTA_Tooltip_ability_lina_laguna_blade_scepter_description"					"Permette a Lama della laguna di infliggere danni puri e di ignorare l'immunità agli incantesimi."

		"DOTA_Tooltip_modifier_lina_fiery_soul"						"Animo focoso"
		"DOTA_Tooltip_modifier_lina_fiery_soul_Description"			"Velocità di attacco aumentata di %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, velocità di movimento aumentata del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_lina_laguna_blade"						"Lama della laguna"
		"DOTA_Tooltip_modifier_lina_laguna_blade_Description"			"Sta per essere colpito da un'energia elementale."



		//MIRANA
		"DOTA_Tooltip_ability_mirana_arrow"												"Freccia sacra"
		"DOTA_Tooltip_ability_mirana_arrow_Description"									"Nome in inglese: <b><font color='#F2A93E'>Sacred Arrow</font></b>\n \nScocca una freccia a lungo raggio con precisione mortale, stordendo e danneggiando la prima Unità nemica che colpisce. La durata dello stordimento e l'ammontare del danno aggiuntivo applicato sul bersaglio variano a seconda della distanza coperta dalla freccia: lo stordimento varia da %arrow_min_stun% a %arrow_max_stun% secondi, mentre il danno aggiuntivo ha un tetto massimo pari a %arrow_bonus_damage%. Uccide istantaneamente il primo creep non antico che colpisce."
		"DOTA_Tooltip_ability_mirana_arrow_scepter_description"							"Freccia sacra rilascia una Tempesta di stelle sui nemici lungo la traiettoria della freccia primaria, per poi rilasciare una seconda tempesta che infligge un danno minore all'Unità colpita."
		"DOTA_Tooltip_ability_mirana_arrow_scepter_radius"								"RAGGIO RICERCA:"
		"DOTA_Tooltip_ability_mirana_arrow_scepter_starstorm_target_pct"				"%DANNO DELLA PRIMA TEMPESTA:"
		"DOTA_Tooltip_ability_mirana_arrow_Lore"										"Le energie lunari rendono le frecce della Principessa della Luna più letali che mai."
		"DOTA_Tooltip_ability_mirana_arrow_Note0"										"La durata dello stordimento all'impatto aumenta di 0,5 secondi e il danno aggiuntivo aumenta di 14 per ogni 150 unità di distanza percorsa dalla freccia."
		"DOTA_Tooltip_ability_mirana_arrow_Note1"										"La Freccia sacra colpisce le Unità invisibili."
		"DOTA_Tooltip_ability_mirana_arrow_arrow_range"									"GITTATA:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_min_stun"								"STORDIMENTO MINIMO:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_max_stun"								"STORDIMENTO MASSIMO:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_bonus_damage"							"DANNO AGGIUNTIVO MASSIMO:"
		"DOTA_Tooltip_ability_mirana_invis"												"Ombre al chiaro di luna"
		"DOTA_Tooltip_ability_mirana_invis_Description"									"Nome in inglese: <b><font color='#F2A93E'>Moonlight Shadow</font></b>\n \nRende invisibili Mirana e tutti gli Eroi alleati, aumentando la velocità di movimento. Se un Eroe viene rivelato, tornerà invisibile dopo un breve periodo di tempo a patto che Ombre al chiaro di luna sia ancora attiva."
		"DOTA_Tooltip_ability_mirana_invis_Lore"										"Il suo servizio per Selemene conferisce a Mirana il potere di eclissare la terra, avvolgendo i suoi alleati nell'ombra."
		"DOTA_Tooltip_ability_mirana_invis_Note0"										"Le Unità sotto l'effetto dell'abilità non attaccheranno automaticamente i nemici."
		"DOTA_Tooltip_ability_mirana_invis_Note1"										"L'abilità avrà effetto sugli alleati dotati di immunità agli incantesimi."
		"DOTA_Tooltip_ability_mirana_invis_fade_delay"									"TEMPO DI SPARIZIONE:"
		"DOTA_Tooltip_ability_mirana_invis_duration"									"DURATA:"
		"DOTA_Tooltip_ability_mirana_invis_bonus_movement_speed"						"%VELOCITÀ DI MOVIMENTO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_mirana_leap"												"Balzo"
		"DOTA_Tooltip_ability_mirana_leap_Description"									"Nome in inglese: <b><font color='#F2A93E'>Leap</font></b>\n\nMirana balza in avanti in battaglia, potenziandosi con un feroce ruggito che conferisce velocità di attacco e di movimento aggiuntive. L'effetto dura %leap_bonus_duration% secondi."
		"DOTA_Tooltip_ability_mirana_leap_shard_description"							"Dopo l'atterraggio, lancia un proiettile lungo la traiettoria del balzo di Sagan che danneggia e rallenta le Unità colpite. Cariche aggiuntive: +%shard_bonus_charges%."
		"DOTA_Tooltip_ability_mirana_leap_shard_radius"									"RAGGIO DEL PROIETTILE:"
		"DOTA_Tooltip_ability_mirana_leap_shard_damage"									"DANNO:"
		"DOTA_Tooltip_ability_mirana_leap_shard_slow_pct"								"%RIDUZIONE DELLA VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_mirana_leap_shard_slow_duration"							"DURATA DEL RALLENTAMENTO:"
		"DOTA_Tooltip_ability_mirana_leap_Lore"											"Tutti sanno riconoscere l'emblematica belva bianca di Mirana nel cuore della battaglia."
		"DOTA_Tooltip_ability_mirana_leap_leap_distance"								"DISTANZA:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus"								"%VELOCITÀ DI MOVIMENTO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus_as"							"VELOCITÀ DI ATTACCO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_mirana_starfall"											"Tempesta di stelle"
		"DOTA_Tooltip_ability_mirana_starfall_Description"								"Nome in inglese: <b><font color='#F2A93E'>Starstorm</font></b>\n \nInvoca un'ondata di meteore per danneggiare tutte le Unità nemiche nei paraggi. L'Unità nemica più vicina a Mirana nel raggio di %starfall_secondary_radius% unità subirà un secondo colpo che infliggerà il %secondary_starfall_damage_percent%%% del danno rispetto al primo."
		"DOTA_Tooltip_ability_mirana_starfall_Lore"										"La Dea fa breccia negli strati per aiutare la sua Principessa nel momento del bisogno."
		"DOTA_Tooltip_ability_mirana_starfall_Note0"									"La Tempesta di stelle non è bloccata dalla Sfera di Linken."
		"DOTA_Tooltip_ability_mirana_starfall_Note1"									"La Tempesta di stelle non può colpire le Unità invisibili."
		"DOTA_Tooltip_ability_mirana_starfall_Note2"									"La Tempesta di stelle sceglierà un nuovo bersaglio per la seconda stella se il primo muore prima dell'impatto."
		"DOTA_Tooltip_ability_mirana_starfall_starfall_radius"							"RAGGIO:"
		"DOTA_Tooltip_ability_mirana_starfall_damage"									"DANNO:"

		"DOTA_Tooltip_modifier_mirana_leap_charge_counter"								"Cariche di Balzo"
		"DOTA_Tooltip_modifier_mirana_leap_charge_counter_Description"					"Il numero di cariche rimaste per Balzo."
		"DOTA_Tooltip_modifier_mirana_leap_buff"					"Balzo"
		"DOTA_Tooltip_modifier_mirana_leap_buff_Description"		"Velocità di movimento aumentata del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, velocità di attacco aumentata di %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_mirana_starfall_scepter_thinker"				"Cariche per Tempesta di stelle"
		"DOTA_Tooltip_modifier_mirana_starfall_scepter_thinker_Description"	"Tempesta di stelle può essere lanciata automaticamente quando è carica."
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow"				"Ombre al chiaro di luna"
		"DOTA_Tooltip_modifier_mirana_moonlight_shadow_Description"	"È invisibile. Attaccare rimuove temporaneamente l'invisibilità."
		"DOTA_Tooltip_modifier_mirana_leap_slow"				"Balzo"
		"DOTA_Tooltip_modifier_mirana_leap_slow_Description"	"Velocità di movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."


		//LIFESTEALER
		"DOTA_Tooltip_ability_life_stealer_rage"										"Furia"
		"DOTA_Tooltip_ability_life_stealer_rage_Description"							"Nome in inglese: <b><font color='#F2A93E'>Rage</font></b>\n \nLifestealer si lancia in una furia scatenata, diventando immune agli incantesimi e aumentando la sua velocità di movimento.\n\nTIPO DI DISSIPAZIONE: Dissipazione di base"
		"DOTA_Tooltip_ability_life_stealer_rage_Lore"									"La pazzia e la brutalità di N'aix lo rendono un nemico feroce e implacabile in battaglia."
		"DOTA_Tooltip_ability_life_stealer_rage_Note0"										"Usare l'abilità rimuove la maggior parte degli effetti positivi e negativi."
		"DOTA_Tooltip_ability_life_stealer_rage_movement_speed_bonus"					"%VELOCITÀ DI MOVIMENTO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_life_stealer_rage_duration"								"DURATA:"
		"DOTA_Tooltip_ability_life_stealer_feast"										"Banchetto"
		"DOTA_Tooltip_ability_life_stealer_feast_Description"							"Nome in inglese: <b><font color='#F2A93E'><b>Feast</b></font></b>\n \nGli attacchi di Lifestealer infliggono danno e lo guariscono in base a una percentuale della salute massima del bersaglio."		
		"DOTA_Tooltip_ability_life_stealer_feast_Lore"									"Dopo essere fuggito dalla sua cella di Devarque, N'aix sopravvisse grazie alla carne e alle ossa di coloro tanto sfortunati da incontrarlo." 
		"DOTA_Tooltip_ability_life_stealer_feast_Note0"									"Non ha effetto su Roshan."
		"DOTA_Tooltip_ability_life_stealer_feast_Note1"									"Ha effetto sulle Unità immuni agli incantesimi."
		"DOTA_Tooltip_ability_life_stealer_feast_Note2"									"La salute guadagnata è indipendente dal danno inflitto."
		"DOTA_Tooltip_ability_life_stealer_feast_Note3"									"È cumulabile con altre fonti di prosciugamento della salute."
		"DOTA_Tooltip_ability_life_stealer_feast_hp_leech_percent"						"%SALUTE MASSIMA SOTTRATTA:"
		"DOTA_Tooltip_ability_life_stealer_feast_hp_damage_percent"						"%DANNO IN BASE ALLA SALUTE MAX:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy"									"Frenesia macabra"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_Description"						"Nome in inglese: <b><font color='#F2A93E'>Ghoul Frenzy</font></b>\n\nFa sì che gli attacchi di Lifestealer rallentino notevolmente la velocità di movimento dei nemici per %duration% secondi e aumentino la sua velocità d'attacco."
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_movement_slow"					"%RIDUZIONE DELLA VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_duration"						"DURATA:"
		"DOTA_Tooltip_ability_life_stealer_ghoul_frenzy_attack_speed_bonus"				"VELOCITÀ D'ATTACCO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds"									"Ferite aperte"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Description"						"Nome in inglese: <b><font color='#F2A93E'>Open Wounds</font></b>\n \nLifestealer lacera i tendini dell'Unità nemica bersagliata, riducendone la velocità di movimento e consentendo agli alleati di rigenerare la loro salute in base a una percentuale del danno che le infliggono. Ogni tipo di danno inflitto prosciugherà la salute, inclusi i danni inflitti dalle abilità. La vittima recupera la sua velocità di movimento man mano che l'effetto sparisce. Gli attacchi degli Eroi infliggono un danno pari al 2% della salute massima del bersaglio. Dopo aver subito un danno pari a %damage_threshold%, gli effetti delle ferite si diffondono su un nemico casuale non infetto in un raggio di %spread_radius%."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Lore"							"Le ferite aperte e l'odore del sangue spesso attirano gli sciacalli, che spazzano via i resti della preda."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Note0"							"Il rallentamento di Ferite aperte si sviluppa in 8 passi diversi: 50% / 50% / 40% / 30% / 20% / 10% / 10% / 10%. Il rallentamento diminuisce di un passo al secondo."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_Note1"							"È cumulabile con altre fonti di prosciugamento della salute."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_heal_percent"					"%PROSCIUGAMENTO DI SALUTE:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_slow_tooltip"					"%RALLENTAMENTO MASSIMO:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_duration"						"DURATA:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_abilitycastrange"					"GITTATA DI LANCIO:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_max_health_as_damage"			"%SALUTE MAX COME DANNO:"
		"DOTA_Tooltip_ability_life_stealer_infest"										"Infestazione"
		"DOTA_Tooltip_ability_life_stealer_infest_Lore"									"Con questa infestazione, N'aix consuma la linfa vitale del suo ospite, rifocillandosi fino a riacquistare le sue piene forze malvagie."
		"DOTA_Tooltip_ability_life_stealer_infest_Description"							"Nome in inglese: <b><font color='#F2A93E'>Infest</font></b>\n \nLifestealer infesta il corpo dell'Unità selezionata, diventando invisibile e guarendo di una percentuale della sua salute massima ogni secondo. Lifestealer può emergere dal corpo dell'ospite non appena lo desidera, danneggiando tutte le Unità nemiche nei paraggi. Se l'Unità infestata è un creep neutrale o nemico, Lifestealer può assumerne il controllo. Non è utilizzabile sugli Eroi nemici.\n\nTIPO DI DISSIPAZIONE: Dissipazione di base"
		"DOTA_Tooltip_ability_life_stealer_infest_Note0"								"Lifestealer non guadagnerà salute se l'Unità infestata muore prima che venga consumata."
		"DOTA_Tooltip_ability_life_stealer_infest_Note1"								"Lifestealer continuerà a guadagnare esperienza mentre infesta un Eroe alleato o un'Unità."
		"DOTA_Tooltip_ability_life_stealer_infest_Note2"								"I creep controllati da Lifestealer mentre li infesta hanno la sua stessa velocità di movimento."
		"DOTA_Tooltip_ability_life_stealer_infest_Note3"								"Infestazione può essere usata sui creep antichi al livello 2 e 3."
		"DOTA_Tooltip_ability_life_stealer_infest_damage"								"DANNO:"
		"DOTA_Tooltip_ability_life_stealer_infest_radius"								"RAGGIO DEL DANNO:"
		"DOTA_Tooltip_ability_life_stealer_infest_self_regen"								"%RIGEN. MASSIMA DELLA SALUTE (LIFESTEALER):"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_movement_speed"					"%VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_health"							"SALUTE AGGIUNTIVA:"
		//"DOTA_Tooltip_ability_life_stealer_infest_extra_damage"							"%DAMAGE FROM LIFESTEALER:"
		//"DOTA_Tooltip_ability_life_stealer_infest_extra_armor"							"%ARMOR FROM LIFESTEALER:"
		"DOTA_Tooltip_ability_life_stealer_infest_cooldown_scepter"						"TEMPO DI RICARICA CON SCETTRO:"
		"DOTA_Tooltip_ability_life_stealer_infest_cast_range_scepter"					"GITTATA CON SCETTRO:"
		"DOTA_Tooltip_ability_life_stealer_infest_attack_rate_scepter"					"FREQUENZA D'ATTACCO (SCETTRO):"
		"DOTA_Tooltip_ability_life_stealer_infest_bonus_regen_pct_scepter"					"%RIGENERAZIONE AGGIUNTIVA (SCETTRO):"
		"DOTA_Tooltip_ability_life_stealer_infest_infest_duration_scepter"				"DURATA SUI NEMICI (SCETTRO):"
		"DOTA_Tooltip_ability_life_stealer_infest_scepter_description"					"Aumenta la gittata di lancio e riduce il tempo di ricarica. Infestazione può bersagliare gli Eroi nemici per un breve periodo, disarmandoli e danneggiandoli dall'interno mentre la velocità di rigenerazione di Lifestealer aumenta."
		"DOTA_Tooltip_ability_life_stealer_control"										"Controllo"
		"DOTA_Tooltip_ability_life_stealer_control_Description"							"Nome in inglese: <font color='#F2A93E'>Control</font>\n \nLifestealer assume il controllo del sistema nervoso dell'ospite, permettendogli di ordinargli di muoversi e di attaccare dall'interno. Le Unità controllate hanno la stessa velocità di movimento di Lifestealer. Non è utilizzabile sugli Eroi."
		"DOTA_Tooltip_ability_life_stealer_consume"										"Consumo"
		"DOTA_Tooltip_ability_life_stealer_consume_Description"							"Nome in inglese: <font color='#F2A93E'>Consume</font>\n \nLifestealer divora il corpo ospite dall'interno, facendolo esplodere cruentemente."
		"DOTA_Tooltip_ability_life_stealer_empty_1"										" "
		"DOTA_Tooltip_ability_life_stealer_empty_1_Description"							" "
		"DOTA_Tooltip_ability_life_stealer_empty_2"										" "
		"DOTA_Tooltip_ability_life_stealer_empty_2_Description"							" "
		"DOTA_Tooltip_ability_life_stealer_empty_3"										" "
		"DOTA_Tooltip_ability_life_stealer_empty_3_Description"							" "
		"DOTA_Tooltip_ability_life_stealer_empty_4"										" "
		"DOTA_Tooltip_ability_life_stealer_empty_4_Description"							" "
		"DOTA_Tooltip_ability_life_stealer_assimilate"							"Assimilazione"
		"DOTA_Tooltip_ability_life_stealer_assimilate_Description"							"Nome in inglese: <b><font color='#F2A93E'>Assimilate</font></b>\n \nLifestealer ingoia l'alleato bersagliato, nascondendolo al suo interno. L'Eroe assimilato riceverà gli stessi effetti curativi di Lifestealer. Quando l'Eroe verrà rigettato, danneggerà tutti i nemici circostanti.\n\nTIPO DI DISSIPAZIONE: Dissipazione potente"
		"DOTA_Tooltip_ability_life_stealer_assimilate_damage"		"DANNO DEL RIGETTO:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_radius"		"RAGGIO DEL RIGETTO:"		
		"DOTA_Tooltip_ability_life_stealer_assimilate_Lore"		"Come può N'aix resistere all'opportunità di assaggiare i suoi alleati?"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject"							"Rigetto"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_Description"				"Nome in inglese: <b><font color='#F2A93E'>Eject</font></b>\n \nRigetta l'Eroe alleato assimilato, danneggiando tutti i nemici circostanti."
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_damage_tooltip"		"DANNO DEL RIGETTO:"
		"DOTA_Tooltip_ability_life_stealer_assimilate_eject_radius_tooltip"			"RAGGIO DEL RIGETTO:"		

		"DOTA_Tooltip_modifier_life_stealer_infest"										"Infestazione"

		"DOTA_Tooltip_modifier_life_stealer_infest_enemy_hero"							"Infestato"
		"DOTA_Tooltip_modifier_life_stealer_infest_enemy_hero_Description"				"Sei stato infestato da un Eroe nemico."

		"DOTA_Tooltip_modifier_life_stealer_rage" "Furia"
		"DOTA_Tooltip_modifier_life_stealer_rage_Description" "Ottiene velocità di attacco aggiuntiva, immunità agli incantesimi e 100% di resistenza alla magia."
