"dota"
{
"DOTA_Accept"	"Приемане"
"npc_dota_hero_crystal_maiden_hype"	"Способна да поддържа съюзниците си добре снабдени с мана, докато тя забавя враговете, за да гарантира тяхното убийство. Crystal Maiden е благотворно допълнение към всеки отбор. А когато ѝ се отдаде възможността може да отприщи своя масивен ултимат, за да опустоши враговете си."
"npc_dota_hero_dark_seer_hype"	"Всестранно развит и стратегичен, Dark Seer изпъква при манипулацията на вражеските позиции. Чрез умението Vacuum той придърпва неприятелите си към атаките на своите съюзници. Може да обърне вражеската сила срещу самите тях, като издърпа неприятелите си през своята Wall of Replica."
"npc_dota_hero_dazzle_hype"	"С вродена способност да подкрепя своите другари в битка, Dazzle поддържа ранените съюзници живи. По този начин, те биха имали възможността по-късно да покосят своите врагове. Странната му магия си проправя път към броните в близост, омаломощавайки враговете и укрепвайки приятелите."
"npc_dota_hero_death_prophet_hype"	"Когато отприщва своята призрачна армия, Death Prophet надминава останалите при унищожаването на враговете и защитите им. Предвождайки силите на своя отбор към противниковата база с вълна след вълна от опустошителните ѝ призрачни рояци, нейната яростна атака може да изглежда неудържима."
"npc_dota_hero_disruptor_hype"	"Никой не разбива вражеските планове на пух и прах както Disruptor. Призовавайки непроходими огради, поставящи неговите целите в капан, той приканва заглушаваща буря, в случай че някой неприятел опита нещо неочаквано. А ако това стане — просто го телепортира обратно до предишното му местоположение."
"npc_dota_hero_doom_bringer_hype"	"По един или друг начин, Doom затрива своите врагове. Поглъщайки крийпове, за да придобие разнообразните умения, с които те са разполагали приживе. Той може да се постави мълниеносно заглушаване над неприятелските заклинания и предмети, докато изпепелява своите противници посредством ултимата си."
"npc_dota_hero_dragon_knight_hype"	"Когато се въплъти в ужасяваща си драконова форма, Dragon Knight всява страх у всеки, който му се опълчи. Силен и адаптивен, той може да се зашемети враговете си и опожари всичко пред себе си. Често предоставяйки нужния стимул на съюзниците си, който да ги понесе към победата."
"npc_dota_hero_drow_ranger_hype"	"Неколцина могат да избягат от Drow Ranger, след като са попаднали в нейния обсег. Когато враговете ѝ бъдат заглушени със смразяващ порив, тя ги довършва чрез бараж от забавящи, островърхи, ледени стрели, изпод които малцина могат да оцелеят."
"npc_dota_hero_earth_spirit_hype"	"Earth Spirit поддържа врага в безпорядък, а своите приятели в разгара на сражението. Адаптиращ се към всеки боен сценарий, той може да изпрати своя Stone Remnant да навреди на неприятелите или да откопчи съюзник от челюстите на смъртта."
"npc_dota_hero_earthshaker_hype"	"Независимо дали блокира вражеското отстъпление, разединява силите им или разтърсва земята изпод събралите се неприятели, Earthshaker е в стихията си, когато напада внезапно. Каквото и да е оцеляло след вторичните трусове може само да очаква замах от могъщия му тотем."
"npc_dota_hero_elder_titan_hype"	"Разузнавайки пътя напред с астралния си дух, Elder Titan може да нападне отвсякъде. Възпирайки неприятелите с тропота на копито си, докато присъствието му подкопава защитите им. Той разцепва самата земя, за да принизи своите врагове."
"npc_dota_hero_ember_spirit_hype"	"Пъргав и неуловим, Ember Spirit напада всички врагове наблизо в бърза последователност, а след това ги завързва с обгарящи вериги. Той препуска бързо из бойното поле, за да достигне до някой от своите експлодиращи Fire Remnant, така че малцина могат да избегнат или уловят неговия плам."
"npc_dota_hero_enchantress_hype"	"Зловредна, когато е в близост и смъртоносни от разстояние, Enchantress пронизва неприятелите чрез атаки изпълнени с възможността да нанесат още повече щети, колкото по-дълго разстояние прелитат. Независимо дали нанася мощни забавяния на своите врагове или омайва горски твари, които да се сражават в битките ѝ, тя винаги разполага с необходимите средства, за да спечели битката."
"npc_dota_hero_enigma_hype"	"Всяващ повсеместен страх заради своя ултимат, Enigma може да призове черна дупка, способна да улови в капан вражеските сили. По този начин съюзниците могат да ги унищожат в последствие. С неизменно наличен набор от Eidolon привидения на негова страна, той бъхти неприятелите си чрез далекобойни атаки."
"npc_dota_hero_faceless_void_hype"	"Времето е всичко за Faceless Void. Той го ускорява, за да се впусне от място към друго. Манипулира го, за да избегне атаки. Спира го в голямо пространство, за да унищожи своите неприятели, а ако разполага с достатъчно време за събиране на ресурси, може да стане невероятно могъщ."
"npc_dota_hero_gyrocopter_hype"	"Gyrocopter се извисява в сражението със своя арсенал от огнева мощ, който винаги е в бойна готовност. Взривявайки всички врагове наблизо с изстрели от своето оръдие или поразявайки ги с бараж от ракети, ако е способен да събере пълната си сила той унищожава враговете с лекота."
"npc_dota_hero_huskar_hype"	"Докато здравето му намалява, умението на Huskar да покоси своите врагове — нараства значително. Способен е незабавно да премахне част от своето и вражеското здраве чрез ултимата си. А когато изпадне пред прага на смъртта, е в състояние да мята горящите си копия с опустошителна скорост."
"npc_dota_hero_invoker_hype"	"Със заплетен арсенал от заклинания на негово разположение, Invoker може да се адаптира към всяка бойна ситуация. Множеството конфигурации от трите му заклинателни компонента предоставят една измежду десет магии, което значи, че той винаги разполага с начин да унищожи или избяга на враговете си."
